!! Predictions spanning range 1045 - 96779 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 12.86 1045-1872 orient(-) score(308079.00) noncoding_equivalent(23949.00) raw_noncoding(23949.00) offset(0.00) 
1872	1045	single-	4	6	{GeneMark_model.10585_t;GeneMark},{other_pred1_mRNA_10591;other_pred1}
9927	9327	terminal-	6	6	{GeneMark_model.10588_t;GeneMark},{other_pred1_mRNA_10594;other_pred1},{snap_scaffold_10-snap.2-T1;snap}
9988	9928	INTRON			{GeneMark_model.10588_t;GeneMark},{other_pred1_mRNA_10594;other_pred1},{snap_scaffold_10-snap.2-T1;snap},{Augustus_model.g8291.t1;Augustus}
10128	9989	initial-	4	5	{GeneMark_model.10588_t;GeneMark},{other_pred1_mRNA_10594;other_pred1},{Augustus_model.g8291.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 5.32 11621-12266 orient(+) score(213600.00) noncoding_equivalent(40184.44) raw_noncoding(47065.79) offset(6881.34) 
11621	12042	initial+	1	2	{GeneMark_model.10589_t;GeneMark},{GlimmerHMM_glimmerT_10559-T1;GlimmerHMM},{other_pred1_mRNA_10595;other_pred1}
12043	12097	INTRON			{GeneMark_model.10589_t;GeneMark},{other_pred1_mRNA_10595;other_pred1}
12098	12266	terminal+	3	3	{GeneMark_model.10589_t;GeneMark},{other_pred1_mRNA_10595;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 1.73 14464-19542 orient(-) score(1015800.00) noncoding_equivalent(588782.42) raw_noncoding(1373027.42) offset(784245.00) 
14808	14464	terminal-	4	6	{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}
16925	14809	INTRON			{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}
17081	16926	internal-	4	6	{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}
18868	17082	INTRON			{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}
19253	18869	internal-	6	6	{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}
19300	19254	INTRON			{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}
19542	19301	initial-	4	5	{other_pred1_mRNA_10596;other_pred1},{GeneMark_model.10590_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 19.78 20367-20976 orient(+) score(226900.00) noncoding_equivalent(11472.52) raw_noncoding(17337.81) offset(5865.29) 
20367	20390	initial+	1	3	{GeneMark_model.10591_t;GeneMark},{other_pred1_mRNA_10597;other_pred1}
20391	20448	INTRON			{GeneMark_model.10591_t;GeneMark},{other_pred1_mRNA_10597;other_pred1}
20449	20976	terminal+	1	3	{GeneMark_model.10591_t;GeneMark},{other_pred1_mRNA_10597;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 2.61 22537-24981 orient(-) score(604873.00) noncoding_equivalent(231457.87) raw_noncoding(505872.00) offset(274414.13) 
23022	22537	terminal-	4	6	{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24233	23023	INTRON			{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24404	24234	internal-	4	6	{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark},{snap_scaffold_10-snap.6-T1;snap}
24468	24405	INTRON			{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24542	24469	internal-	5	6	{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24630	24543	INTRON			{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24739	24631	internal-	4	4	{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24807	24740	INTRON			{other_pred1_mRNA_10598;other_pred1},{GeneMark_model.10592_t;GeneMark}
24981	24808	initial-	4	6	{other_pred1_mRNA_10598;other_pred1},{Augustus_model.g8292.t1;Augustus},{GeneMark_model.10592_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 15.93 25815-27919 orient(-) score(822293.00) noncoding_equivalent(51628.51) raw_noncoding(65867.00) offset(14238.49) 
26146	25815	terminal-	5	6	{other_pred1_mRNA_10599;other_pred1},{snap_scaffold_10-snap.7-T1;snap},{GeneMark_model.10593_t;GeneMark},{Augustus_model.g8293.t1;Augustus}
26221	26147	INTRON			{other_pred1_mRNA_10599;other_pred1},{snap_scaffold_10-snap.7-T1;snap},{GeneMark_model.10593_t;GeneMark}
26964	26222	internal-	6	4	{other_pred1_mRNA_10599;other_pred1},{GeneMark_model.10593_t;GeneMark}
27021	26965	INTRON			{other_pred1_mRNA_10599;other_pred1},{GeneMark_model.10593_t;GeneMark}
27635	27022	internal-	4	5	{other_pred1_mRNA_10599;other_pred1},{snap_scaffold_10-snap.7-T1;snap},{GeneMark_model.10593_t;GeneMark}
27733	27636	INTRON			{other_pred1_mRNA_10599;other_pred1},{snap_scaffold_10-snap.7-T1;snap},{GlimmerHMM_glimmerT_10562-T1;GlimmerHMM},{GeneMark_model.10593_t;GeneMark}
27919	27734	initial-	4	6	{other_pred1_mRNA_10599;other_pred1},{GlimmerHMM_glimmerT_10562-T1;GlimmerHMM},{GeneMark_model.10593_t;GeneMark},{Augustus_model.g8293.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 56.11 28372-30175 orient(-) score(703599.00) noncoding_equivalent(12538.91) raw_noncoding(17793.76) offset(5254.84) 
28926	28372	terminal-	4	6	{GeneMark_model.10594_t;GeneMark},{other_pred1_mRNA_10600;other_pred1}
28996	28927	INTRON			{GeneMark_model.10594_t;GeneMark},{other_pred1_mRNA_10600;other_pred1}
30175	28997	initial-	4	6	{GeneMark_model.10594_t;GeneMark},{other_pred1_mRNA_10600;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 5.69 34418-35472 orient(-) score(368100.00) noncoding_equivalent(64732.57) raw_noncoding(70355.00) offset(5622.43) 
34918	34418	terminal-	4	6	{GeneMark_model.10595_t;GeneMark},{GlimmerHMM_glimmerT_10565-T1;GlimmerHMM},{other_pred1_mRNA_10601;other_pred1}
34973	34919	INTRON			{GeneMark_model.10595_t;GeneMark},{GlimmerHMM_glimmerT_10565-T1;GlimmerHMM},{other_pred1_mRNA_10601;other_pred1}
35344	34974	internal-	5	6	{GeneMark_model.10595_t;GeneMark},{GlimmerHMM_glimmerT_10565-T1;GlimmerHMM},{other_pred1_mRNA_10601;other_pred1}
35393	35345	INTRON			{GeneMark_model.10595_t;GeneMark},{GlimmerHMM_glimmerT_10565-T1;GlimmerHMM},{other_pred1_mRNA_10601;other_pred1}
35472	35394	initial-	4	4	{GeneMark_model.10595_t;GeneMark},{GlimmerHMM_glimmerT_10565-T1;GlimmerHMM},{other_pred1_mRNA_10601;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 4.35 42991-43833 orient(+) score(321601.00) noncoding_equivalent(74007.78) raw_noncoding(76415.86) offset(2408.08) 
42991	43410	initial+	1	3	{other_pred1_mRNA_10603;other_pred1},{GeneMark_model.10597_t;GeneMark}
43411	43579	INTRON			{GlimmerHMM_glimmerT_10568-T1;GlimmerHMM},{other_pred1_mRNA_10603;other_pred1},{Augustus_model.g8295.t1;Augustus},{GeneMark_model.10597_t;GeneMark},{snap_scaffold_10-snap.11-T1;snap}
43580	43669	internal+	1	3	{other_pred1_mRNA_10603;other_pred1},{Augustus_model.g8295.t1;Augustus},{GeneMark_model.10597_t;GeneMark},{snap_scaffold_10-snap.11-T1;snap}
43670	43743	INTRON			{other_pred1_mRNA_10603;other_pred1},{Augustus_model.g8295.t1;Augustus},{GeneMark_model.10597_t;GeneMark},{snap_scaffold_10-snap.11-T1;snap}
43744	43833	terminal+	1	3	{other_pred1_mRNA_10603;other_pred1},{Augustus_model.g8295.t1;Augustus},{GeneMark_model.10597_t;GeneMark},{snap_scaffold_10-snap.11-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 25.24 44830-45924 orient(+) score(422400.00) noncoding_equivalent(16735.52) raw_noncoding(16735.52) offset(0.00) 
44830	45924	single+	1	3	{GeneMark_model.10598_t;GeneMark},{other_pred1_mRNA_10604;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 5.26 55897-57501 orient(+) score(527854.00) noncoding_equivalent(100387.24) raw_noncoding(173513.46) offset(73126.22) 
55897	55909	initial+	1	1	{GeneMark_model.10599_t;GeneMark},{other_pred1_mRNA_10605;other_pred1}
55910	56382	INTRON			{GeneMark_model.10599_t;GeneMark},{other_pred1_mRNA_10605;other_pred1}
56383	56941	internal+	2	2	{GeneMark_model.10599_t;GeneMark},{other_pred1_mRNA_10605;other_pred1},{snap_scaffold_10-snap.13-T1;snap}
56942	57011	INTRON			{GeneMark_model.10599_t;GeneMark},{Augustus_model.g8296.t1;Augustus},{other_pred1_mRNA_10605;other_pred1},{snap_scaffold_10-snap.13-T1;snap}
57012	57501	terminal+	3	3	{GeneMark_model.10599_t;GeneMark},{Augustus_model.g8296.t1;Augustus},{other_pred1_mRNA_10605;other_pred1},{snap_scaffold_10-snap.13-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.36 58508-59433 orient(-) score(245400.00) noncoding_equivalent(103879.71) raw_noncoding(145526.00) offset(41646.29) 
58959	58508	terminal-	5	6	{GeneMark_model.10600_t;GeneMark},{other_pred1_mRNA_10606;other_pred1}
59121	58960	INTRON			{GeneMark_model.10600_t;GeneMark},{other_pred1_mRNA_10606;other_pred1}
59224	59122	internal-	4	4	{GeneMark_model.10600_t;GeneMark},{other_pred1_mRNA_10606;other_pred1}
59283	59225	INTRON			{GeneMark_model.10600_t;GeneMark},{other_pred1_mRNA_10606;other_pred1}
59433	59284	initial-	4	6	{GlimmerHMM_glimmerT_10571-T1;GlimmerHMM},{GeneMark_model.10600_t;GeneMark},{other_pred1_mRNA_10606;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 7.49 65516-66375 orient(-) score(273508.00) noncoding_equivalent(36506.01) raw_noncoding(101025.81) offset(64519.80) 
65520	65516	terminal-	5	6	{other_pred1_mRNA_10607;other_pred1},{GeneMark_model.10601_t;GeneMark}
65867	65521	INTRON			{other_pred1_mRNA_10607;other_pred1},{GeneMark_model.10601_t;GeneMark}
66375	65868	initial-	4	4	{other_pred1_mRNA_10607;other_pred1},{GeneMark_model.10601_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.55 67103-67774 orient(-) score(158015.00) noncoding_equivalent(102066.00) raw_noncoding(108942.00) offset(6876.00) 
67426	67103	terminal-	4	6	{other_pred1_mRNA_10608;other_pred1}
67459	67427	INTRON			{other_pred1_mRNA_10608;other_pred1}
67774	67460	initial-	4	6	{other_pred1_mRNA_10608;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 12.24 69914-71090 orient(+) score(430997.00) noncoding_equivalent(35202.60) raw_noncoding(46780.00) offset(11577.40) 
69914	69965	initial+	1	1	{other_pred1_mRNA_10609;other_pred1},{GeneMark_model.10603_t;GeneMark}
69966	70023	INTRON			{other_pred1_mRNA_10609;other_pred1},{GeneMark_model.10603_t;GeneMark}
70024	71090	terminal+	2	3	{other_pred1_mRNA_10609;other_pred1},{GeneMark_model.10603_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.63 71517-73132 orient(-) score(601257.00) noncoding_equivalent(129925.01) raw_noncoding(135488.00) offset(5562.99) 
71776	71517	terminal-	5	6	{Augustus_model.g8300.t1;Augustus},{GlimmerHMM_glimmerT_10575-T1;GlimmerHMM},{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1},{snap_scaffold_10-snap.16-T1;snap}
72049	71777	INTRON			{Augustus_model.g8300.t1;Augustus},{GlimmerHMM_glimmerT_10575-T1;GlimmerHMM},{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1},{snap_scaffold_10-snap.16-T1;snap}
72307	72050	internal-	5	4	{Augustus_model.g8300.t1;Augustus},{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1}
72351	72308	INTRON			{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1}
72616	72352	internal-	4	4	{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1}
72679	72617	INTRON			{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1},{snap_scaffold_10-snap.16-T1;snap}
73132	72680	initial-	4	6	{GeneMark_model.10604_t;GeneMark},{other_pred1_mRNA_10610;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 2.97 79655-80914 orient(+) score(378000.00) noncoding_equivalent(127260.00) raw_noncoding(127260.00) offset(0.00) 
79655	80914	single+	1	3	{other_pred1_mRNA_10611;other_pred1},{GeneMark_model.10605_t;GeneMark},{GlimmerHMM_glimmerT_10578-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.29 82446-82676 orient(+) score(52300.00) noncoding_equivalent(40413.52) raw_noncoding(40413.52) offset(0.00) 
82446	82676	single+	1	3	{GeneMark_model.10606_t;GeneMark},{other_pred1_mRNA_10612;other_pred1}

# EVM prediction: Mode:STANDARD S-ratio: 2.09 86935-87990 orient(+) score(278200.00) noncoding_equivalent(133011.23) raw_noncoding(156178.86) offset(23167.63) 
86935	87013	initial+	1	1	{other_pred1_mRNA_10613;other_pred1},{GeneMark_model.10607_t;GeneMark}
87014	87062	INTRON			{other_pred1_mRNA_10613;other_pred1},{GeneMark_model.10607_t;GeneMark}
87063	87412	internal+	2	3	{other_pred1_mRNA_10613;other_pred1},{GeneMark_model.10607_t;GeneMark}
87413	87489	INTRON			{other_pred1_mRNA_10613;other_pred1},{GeneMark_model.10607_t;GeneMark}
87490	87990	terminal+	1	3	{other_pred1_mRNA_10613;other_pred1},{GeneMark_model.10607_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 32.07 96255-96779 orient(+) score(203700.00) noncoding_equivalent(6351.07) raw_noncoding(6351.07) offset(0.00) 
96255	96779	single+	1	3	{other_pred1_mRNA_10614;other_pred1},{GeneMark_model.10608_t;GeneMark}

