!! Predictions spanning range 7698 - 102237 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 7698-9026 orient(-) score(400029.00) noncoding_equivalent(40.00) raw_noncoding(0.00) offset(0.00) 
9026	7698	single-	4	6	{Augustus_model.g1765.t1;Augustus},{GeneMark_model.2080_t;GeneMark},{GlimmerHMM_glimmerT_2059-T1;GlimmerHMM}
24323	24879	terminal+	2	3	{Augustus_model.g1768.t1;Augustus},{GeneMark_model.2084_t;GeneMark},{GlimmerHMM_glimmerT_2064-T1;GlimmerHMM},{snap_scaffold_2-snap.188-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 11.06 28622-30475 orient(+) score(533554.00) noncoding_equivalent(48222.00) raw_noncoding(55026.00) offset(6804.00) 
28622	28800	initial+	1	2	{GeneMark_model.2085_t;GeneMark},{Augustus_model.g1769.t1;Augustus},{GlimmerHMM_glimmerT_2065-T1;GlimmerHMM}
28801	28866	INTRON			{GeneMark_model.2085_t;GeneMark},{Augustus_model.g1769.t1;Augustus},{GlimmerHMM_glimmerT_2065-T1;GlimmerHMM}
28867	30114	internal+	3	2	{snap_scaffold_2-snap.189-T1;snap},{GeneMark_model.2085_t;GeneMark},{Augustus_model.g1769.t1;Augustus},{GlimmerHMM_glimmerT_2065-T1;GlimmerHMM}
30115	30174	INTRON			{snap_scaffold_2-snap.189-T1;snap},{GeneMark_model.2085_t;GeneMark},{Augustus_model.g1769.t1;Augustus},{GlimmerHMM_glimmerT_2065-T1;GlimmerHMM}
30175	30475	terminal+	3	3	{snap_scaffold_2-snap.189-T1;snap},{GeneMark_model.2085_t;GeneMark},{Augustus_model.g1769.t1;Augustus},{GlimmerHMM_glimmerT_2065-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.90 32271-32654 orient(-) score(104100.00) noncoding_equivalent(17638.48) raw_noncoding(24528.76) offset(6890.28) 
32543	32271	terminal-	4	6	{GeneMark_model.2086_t;GeneMark},{GlimmerHMM_glimmerT_2066-T1;GlimmerHMM},{snap_scaffold_2-snap.190-T1;snap}
32609	32544	INTRON			{GeneMark_model.2086_t;GeneMark},{GlimmerHMM_glimmerT_2066-T1;GlimmerHMM}
32654	32610	initial-	4	6	{GeneMark_model.2086_t;GeneMark},{GlimmerHMM_glimmerT_2066-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.75 34476-36052 orient(-) score(287900.00) noncoding_equivalent(164670.99) raw_noncoding(208730.58) offset(44059.59) 
35777	34476	terminal-	4	6	{GeneMark_model.2087_t;GeneMark},{GlimmerHMM_glimmerT_2067-T1;GlimmerHMM}
35851	35778	INTRON			{GlimmerHMM_glimmerT_2067-T1;GlimmerHMM}
35868	35852	internal-	5	6	{GlimmerHMM_glimmerT_2067-T1;GlimmerHMM}
36015	35869	INTRON			{GlimmerHMM_glimmerT_2067-T1;GlimmerHMM}
36052	36016	initial-	4	4	{GlimmerHMM_glimmerT_2067-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 8.98 37514-38540 orient(+) score(300227.00) noncoding_equivalent(33431.81) raw_noncoding(40158.25) offset(6726.44) 
37514	37543	initial+	1	3	{GeneMark_model.2088_t;GeneMark},{Augustus_model.g1770.t1;Augustus},{GlimmerHMM_glimmerT_2068-T1;GlimmerHMM}
37544	37602	INTRON			{GeneMark_model.2088_t;GeneMark},{Augustus_model.g1770.t1;Augustus},{GlimmerHMM_glimmerT_2068-T1;GlimmerHMM}
37603	38016	internal+	1	3	{snap_scaffold_2-snap.191-T1;snap},{GeneMark_model.2088_t;GeneMark},{Augustus_model.g1770.t1;Augustus},{GlimmerHMM_glimmerT_2068-T1;GlimmerHMM}
38017	38081	INTRON			{snap_scaffold_2-snap.191-T1;snap},{GeneMark_model.2088_t;GeneMark},{Augustus_model.g1770.t1;Augustus},{GlimmerHMM_glimmerT_2068-T1;GlimmerHMM}
38082	38540	terminal+	1	3	{snap_scaffold_2-snap.191-T1;snap},{GeneMark_model.2088_t;GeneMark},{Augustus_model.g1770.t1;Augustus},{GlimmerHMM_glimmerT_2068-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.16 40908-42611 orient(+) score(340631.00) noncoding_equivalent(157432.72) raw_noncoding(182022.67) offset(24589.95) 
40908	40974	initial+	1	1	{GeneMark_model.2089_t;GeneMark}
40975	41067	INTRON			{GeneMark_model.2089_t;GeneMark}
41068	41993	internal+	2	3	{Augustus_model.g1771.t1;Augustus},{GeneMark_model.2089_t;GeneMark}
41994	42050	INTRON			{Augustus_model.g1771.t1;Augustus},{GeneMark_model.2089_t;GeneMark}
42051	42611	terminal+	1	3	{GeneMark_model.2089_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.60 45327-46891 orient(-) score(286900.00) noncoding_equivalent(178978.94) raw_noncoding(189469.94) offset(10491.00) 
46426	45327	terminal-	5	6	{GeneMark_model.2090_t;GeneMark}
46479	46427	INTRON			{GeneMark_model.2090_t;GeneMark}
46891	46480	initial-	4	4	{GeneMark_model.2090_t;GeneMark},{GlimmerHMM_glimmerT_2070-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.98 49205-49630 orient(+) score(85200.00) noncoding_equivalent(43026.00) raw_noncoding(43026.00) offset(0.00) 
49205	49630	single+	1	3	{GlimmerHMM_glimmerT_2071-T1;GlimmerHMM},{GeneMark_model.2091_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 6.66 49931-51577 orient(-) score(430547.00) noncoding_equivalent(64615.74) raw_noncoding(95943.00) offset(31327.26) 
49966	49931	terminal-	4	6	{Augustus_model.g1772.t1;Augustus},{snap_scaffold_2-snap.193-T1;snap}
50033	49967	INTRON			{Augustus_model.g1772.t1;Augustus},{snap_scaffold_2-snap.193-T1;snap}
50704	50034	internal-	5	6	{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus}
50770	50705	INTRON			{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus},{GlimmerHMM_glimmerT_2072-T1;GlimmerHMM}
50858	50771	internal-	4	4	{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus},{GlimmerHMM_glimmerT_2072-T1;GlimmerHMM}
50917	50859	INTRON			{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus},{GlimmerHMM_glimmerT_2072-T1;GlimmerHMM}
51280	50918	internal-	4	6	{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus}
51331	51281	INTRON			{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus}
51577	51332	initial-	4	6	{GeneMark_model.2092_t;GeneMark},{Augustus_model.g1772.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.97 52572-54557 orient(+) score(432000.00) noncoding_equivalent(218890.75) raw_noncoding(285392.81) offset(66502.06) 
52572	52742	initial+	1	3	{GlimmerHMM_glimmerT_2073-T1;GlimmerHMM},{GeneMark_model.2093_t;GeneMark}
52743	52796	INTRON			{GeneMark_model.2093_t;GeneMark}
52797	52820	internal+	1	3	{GeneMark_model.2093_t;GeneMark}
52821	52877	INTRON			{GeneMark_model.2093_t;GeneMark}
52878	52931	internal+	1	3	{GeneMark_model.2093_t;GeneMark}
52932	52989	INTRON			{GeneMark_model.2093_t;GeneMark}
52990	53042	internal+	1	2	{GlimmerHMM_glimmerT_2073-T1;GlimmerHMM},{GeneMark_model.2093_t;GeneMark}
53043	53096	INTRON			{GlimmerHMM_glimmerT_2073-T1;GlimmerHMM},{GeneMark_model.2093_t;GeneMark}
53097	53269	internal+	3	1	{GlimmerHMM_glimmerT_2073-T1;GlimmerHMM},{GeneMark_model.2093_t;GeneMark}
53270	53925	INTRON			{GlimmerHMM_glimmerT_2073-T1;GlimmerHMM},{snap_scaffold_2-snap.194-T1;snap}
53926	54557	terminal+	2	3	{GeneMark_model.2093_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 15.18 58653-60462 orient(+) score(503075.00) noncoding_equivalent(33133.70) raw_noncoding(49735.00) offset(16601.30) 
58653	58838	initial+	1	3	{GeneMark_model.2094_t;GeneMark}
58839	58923	INTRON			{GeneMark_model.2094_t;GeneMark}
58924	60462	terminal+	1	3	{Augustus_model.g1773.t1;Augustus},{GeneMark_model.2094_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 39.85 67933-68919 orient(+) score(289815.00) noncoding_equivalent(7272.00) raw_noncoding(7272.00) offset(0.00) 
67933	68919	single+	1	3	{GlimmerHMM_glimmerT_2077-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.07 69184-70933 orient(-) score(449634.00) noncoding_equivalent(146297.48) raw_noncoding(178891.00) offset(32593.52) 
69392	69184	terminal-	5	6	{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
69451	69393	INTRON			{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
69531	69452	internal-	6	4	{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
69608	69532	INTRON			{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
69705	69609	internal-	5	5	{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus}
69755	69706	INTRON			{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus}
69965	69756	internal-	5	4	{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
70026	69966	INTRON			{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
70098	70027	internal-	5	4	{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
70216	70099	INTRON			{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
70410	70217	internal-	6	4	{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
70469	70411	INTRON			{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus},{snap_scaffold_2-snap.197-T1;snap}
70624	70470	internal-	4	5	{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus}
70675	70625	INTRON			{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark},{Augustus_model.g1775.t1;Augustus}
70933	70676	initial-	4	6	{GlimmerHMM_glimmerT_2078-T1;GlimmerHMM},{GeneMark_model.2097_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.73 71533-71933 orient(-) score(72301.00) noncoding_equivalent(41703.04) raw_noncoding(55268.00) offset(13564.96) 
71604	71533	terminal-	4	6	{Augustus_model.g1776.t1;Augustus},{GlimmerHMM_glimmerT_2079-T1;GlimmerHMM},{GeneMark_model.2098_t;GeneMark}
71672	71605	INTRON			{Augustus_model.g1776.t1;Augustus},{GeneMark_model.2098_t;GeneMark}
71933	71673	initial-	4	6	{Augustus_model.g1776.t1;Augustus},{GeneMark_model.2098_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.39 72849-74511 orient(-) score(440403.00) noncoding_equivalent(81677.89) raw_noncoding(112246.00) offset(30568.11) 
73348	72849	terminal-	5	6	{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark},{GlimmerHMM_glimmerT_2080-T1;GlimmerHMM},{snap_scaffold_2-snap.198-T1;snap}
73411	73349	INTRON			{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark},{GlimmerHMM_glimmerT_2080-T1;GlimmerHMM},{snap_scaffold_2-snap.198-T1;snap}
73604	73412	internal-	4	4	{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark},{GlimmerHMM_glimmerT_2080-T1;GlimmerHMM},{snap_scaffold_2-snap.198-T1;snap}
73665	73605	INTRON			{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark},{GlimmerHMM_glimmerT_2080-T1;GlimmerHMM},{snap_scaffold_2-snap.198-T1;snap}
74067	73666	internal-	4	6	{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark},{GlimmerHMM_glimmerT_2080-T1;GlimmerHMM},{snap_scaffold_2-snap.198-T1;snap}
74129	74068	INTRON			{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark}
74144	74130	internal-	4	6	{Augustus_model.g1777.t1;Augustus},{GeneMark_model.2099_t;GeneMark}
74229	74145	INTRON			{GeneMark_model.2099_t;GeneMark}
74511	74230	initial-	4	6	{GeneMark_model.2099_t;GeneMark},{GlimmerHMM_glimmerT_2080-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.73 77432-79006 orient(-) score(444175.00) noncoding_equivalent(77557.50) raw_noncoding(92049.00) offset(14491.50) 
77980	77432	terminal-	4	6	{snap_scaffold_2-snap.199-T1;snap},{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78035	77981	INTRON			{snap_scaffold_2-snap.199-T1;snap},{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78244	78036	internal-	5	6	{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78314	78245	INTRON			{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78456	78315	internal-	4	4	{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78514	78457	INTRON			{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78614	78515	internal-	6	6	{snap_scaffold_2-snap.199-T1;snap},{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
78680	78615	INTRON			{snap_scaffold_2-snap.199-T1;snap},{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}
79006	78681	initial-	4	5	{GlimmerHMM_glimmerT_2081-T1;GlimmerHMM},{Augustus_model.g1778.t1;Augustus},{GeneMark_model.2100_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 6.00 80409-82569 orient(+) score(625312.00) noncoding_equivalent(104182.00) raw_noncoding(122758.00) offset(18576.00) 
80409	80442	initial+	1	1	{GeneMark_model.2101_t;GeneMark},{GlimmerHMM_glimmerT_2082-T1;GlimmerHMM}
80443	80626	INTRON			{GeneMark_model.2101_t;GeneMark},{GlimmerHMM_glimmerT_2082-T1;GlimmerHMM},{snap_scaffold_2-snap.200-T1;snap},{Augustus_model.g1779.t1;Augustus}
80627	81235	internal+	2	1	{GeneMark_model.2101_t;GeneMark},{GlimmerHMM_glimmerT_2082-T1;GlimmerHMM},{snap_scaffold_2-snap.200-T1;snap},{Augustus_model.g1779.t1;Augustus}
81236	81484	INTRON			{GlimmerHMM_glimmerT_2082-T1;GlimmerHMM},{snap_scaffold_2-snap.200-T1;snap}
81485	82569	terminal+	2	3	{GeneMark_model.2101_t;GeneMark},{GlimmerHMM_glimmerT_2082-T1;GlimmerHMM},{snap_scaffold_2-snap.200-T1;snap},{Augustus_model.g1779.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 7.93 83594-85051 orient(-) score(384381.00) noncoding_equivalent(48483.00) raw_noncoding(88748.00) offset(40265.00) 
84035	83594	terminal-	6	6	{snap_scaffold_2-snap.201-T1;snap},{Augustus_model.g1780.t1;Augustus},{GeneMark_model.2102_t;GeneMark},{GlimmerHMM_glimmerT_2083-T1;GlimmerHMM}
84106	84036	INTRON			{snap_scaffold_2-snap.201-T1;snap},{Augustus_model.g1780.t1;Augustus},{GeneMark_model.2102_t;GeneMark},{GlimmerHMM_glimmerT_2083-T1;GlimmerHMM}
84779	84107	internal-	5	5	{snap_scaffold_2-snap.201-T1;snap},{GeneMark_model.2102_t;GeneMark}
85044	84780	INTRON			{snap_scaffold_2-snap.201-T1;snap}
85051	85045	initial-	4	4	{snap_scaffold_2-snap.201-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 12.09 89237-90426 orient(+) score(356690.00) noncoding_equivalent(29493.00) raw_noncoding(30095.00) offset(602.00) 
89237	89571	initial+	1	2	{Augustus_model.g1781.t1;Augustus},{GlimmerHMM_glimmerT_2084-T1;GlimmerHMM}
89572	89666	INTRON			{Augustus_model.g1781.t1;Augustus},{snap_scaffold_2-snap.202-T1;snap},{GlimmerHMM_glimmerT_2084-T1;GlimmerHMM},{GeneMark_model.2103_t;GeneMark}
89667	90426	terminal+	3	3	{Augustus_model.g1781.t1;Augustus},{snap_scaffold_2-snap.202-T1;snap},{GlimmerHMM_glimmerT_2084-T1;GlimmerHMM},{GeneMark_model.2103_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.47 92358-93371 orient(+) score(165555.00) noncoding_equivalent(112788.10) raw_noncoding(167536.58) offset(54748.48) 
92358	92439	initial+	1	1	{GlimmerHMM_glimmerT_2085-T1;GlimmerHMM},{GeneMark_model.2104_t;GeneMark},{Augustus_model.g1782.t1;Augustus}
92440	92555	INTRON			{GeneMark_model.2104_t;GeneMark},{Augustus_model.g1782.t1;Augustus}
92556	92602	internal+	2	3	{GeneMark_model.2104_t;GeneMark},{Augustus_model.g1782.t1;Augustus}
92603	92682	INTRON			{GeneMark_model.2104_t;GeneMark},{Augustus_model.g1782.t1;Augustus}
92683	92720	internal+	1	2	{GeneMark_model.2104_t;GeneMark},{Augustus_model.g1782.t1;Augustus}
92721	92800	INTRON			{GeneMark_model.2104_t;GeneMark},{Augustus_model.g1782.t1;Augustus}
92801	93371	terminal+	3	3	{GeneMark_model.2104_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 12.28 93748-94791 orient(-) score(314244.00) noncoding_equivalent(25585.00) raw_noncoding(26187.00) offset(602.00) 
94169	93748	terminal-	5	6	{snap_scaffold_2-snap.203-T1;snap},{GlimmerHMM_glimmerT_2086-T1;GlimmerHMM},{Augustus_model.g1783.t1;Augustus},{GeneMark_model.2105_t;GeneMark}
94256	94170	INTRON			{snap_scaffold_2-snap.203-T1;snap},{GlimmerHMM_glimmerT_2086-T1;GlimmerHMM},{Augustus_model.g1783.t1;Augustus},{GeneMark_model.2105_t;GeneMark}
94791	94257	initial-	4	4	{GlimmerHMM_glimmerT_2086-T1;GlimmerHMM},{Augustus_model.g1783.t1;Augustus},{GeneMark_model.2105_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 10.12 97028-98270 orient(-) score(360743.00) noncoding_equivalent(35652.21) raw_noncoding(36254.21) offset(602.00) 
97285	97028	terminal-	4	6	{Augustus_model.g1784.t1;Augustus},{GlimmerHMM_glimmerT_2087-T1;GlimmerHMM},{GeneMark_model.2106_t;GeneMark}
97361	97286	INTRON			{Augustus_model.g1784.t1;Augustus},{GlimmerHMM_glimmerT_2087-T1;GlimmerHMM},{snap_scaffold_2-snap.204-T1;snap},{GeneMark_model.2106_t;GeneMark}
98270	97362	initial-	4	6	{Augustus_model.g1784.t1;Augustus},{GlimmerHMM_glimmerT_2087-T1;GlimmerHMM},{GeneMark_model.2106_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.87 99957-100838 orient(-) score(166606.00) noncoding_equivalent(88879.20) raw_noncoding(98876.53) offset(9997.33) 
100730	99957	terminal-	4	6	{snap_scaffold_2-snap.205-T1;snap}
100829	100731	INTRON			{snap_scaffold_2-snap.205-T1;snap}
100838	100830	initial-	4	6	{snap_scaffold_2-snap.205-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 8.17 101552-102237 orient(-) score(206486.00) noncoding_equivalent(25284.00) raw_noncoding(25886.00) offset(602.00) 
101803	101552	terminal-	4	6	{GeneMark_model.2108_t;GeneMark},{GlimmerHMM_glimmerT_2088-T1;GlimmerHMM},{Augustus_model.g1786.t1;Augustus},{snap_scaffold_2-snap.206-T1;snap}
101889	101804	INTRON			{GeneMark_model.2108_t;GeneMark},{GlimmerHMM_glimmerT_2088-T1;GlimmerHMM},{Augustus_model.g1786.t1;Augustus},{snap_scaffold_2-snap.206-T1;snap}
102237	101890	initial-	4	6	{GeneMark_model.2108_t;GeneMark},{GlimmerHMM_glimmerT_2088-T1;GlimmerHMM},{Augustus_model.g1786.t1;Augustus}

