!! Predictions spanning range 4209 - 82214 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 147.29 4209-6425 orient(+) score(662817.00) noncoding_equivalent(4500.00) raw_noncoding(4500.00) offset(0.00) 
4209	6425	single+	1	3	{Augustus_model.g5216.t1;Augustus},{GlimmerHMM_glimmerT_7762-T1;GlimmerHMM},{GeneMark_model.6644_t;GeneMark}
12967	13024	initial+	1	1	{Augustus_model.g5219.t1;Augustus},{snap_scaffold_14-snap.69-T1;snap},{GlimmerHMM_glimmerT_7765-T1;GlimmerHMM},{GeneMark_model.6647_t;GeneMark}
13025	13252	INTRON			{Augustus_model.g5219.t1;Augustus},{snap_scaffold_14-snap.69-T1;snap},{GlimmerHMM_glimmerT_7765-T1;GlimmerHMM},{GeneMark_model.6647_t;GeneMark}
13253	13564	internal+	2	1	{Augustus_model.g5219.t1;Augustus},{snap_scaffold_14-snap.69-T1;snap},{GlimmerHMM_glimmerT_7765-T1;GlimmerHMM},{GeneMark_model.6647_t;GeneMark}
13565	13654	INTRON			{Augustus_model.g5219.t1;Augustus},{snap_scaffold_14-snap.69-T1;snap},{GlimmerHMM_glimmerT_7765-T1;GlimmerHMM},{GeneMark_model.6647_t;GeneMark}
13655	15177	terminal+	2	3	{Augustus_model.g5219.t1;Augustus},{snap_scaffold_14-snap.69-T1;snap},{GlimmerHMM_glimmerT_7765-T1;GlimmerHMM},{GeneMark_model.6647_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.25 16745-17933 orient(-) score(357889.00) noncoding_equivalent(84280.00) raw_noncoding(86086.00) offset(1806.00) 
16882	16745	terminal-	4	6	{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}
16962	16883	INTRON			{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}
17456	16963	internal-	5	6	{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}
17568	17457	INTRON			{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}
17681	17569	internal-	6	4	{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}
17775	17682	INTRON			{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}
17933	17776	initial-	4	5	{GeneMark_model.6648_t;GeneMark},{GlimmerHMM_glimmerT_7766-T1;GlimmerHMM},{snap_scaffold_14-snap.70-T1;snap},{Augustus_model.g5220.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 37.27 18822-20423 orient(-) score(469602.00) noncoding_equivalent(12600.00) raw_noncoding(12600.00) offset(0.00) 
20423	18822	single-	4	6	{GeneMark_model.6649_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.63 21142-22094 orient(+) score(261163.00) noncoding_equivalent(99415.52) raw_noncoding(120302.00) offset(20886.48) 
21142	21182	initial+	1	2	{Augustus_model.g5222.t1;Augustus},{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21183	21322	INTRON			{Augustus_model.g5222.t1;Augustus},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21323	21346	internal+	3	2	{Augustus_model.g5222.t1;Augustus},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21347	21370	INTRON			{snap_scaffold_14-snap.72-T1;snap}
21371	21469	internal+	3	2	{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{snap_scaffold_14-snap.72-T1;snap}
21470	21558	INTRON			{Augustus_model.g5222.t1;Augustus},{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21559	21686	internal+	3	1	{Augustus_model.g5222.t1;Augustus},{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21687	21780	INTRON			{Augustus_model.g5222.t1;Augustus},{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21781	21870	internal+	2	1	{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21871	21900	INTRON			{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}
21901	22094	terminal+	2	3	{GlimmerHMM_glimmerT_7768-T1;GlimmerHMM},{GeneMark_model.6650_t;GeneMark},{snap_scaffold_14-snap.72-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 208.96 23227-24927 orient(-) score(509601.00) noncoding_equivalent(2438.71) raw_noncoding(2438.71) offset(0.00) 
24927	23227	single-	4	6	{Augustus_model.g5223.t1;Augustus},{GlimmerHMM_glimmerT_7769-T1;GlimmerHMM},{GeneMark_model.6651_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.64 27111-27342 orient(+) score(42500.00) noncoding_equivalent(25944.32) raw_noncoding(29032.00) offset(3087.68) 
27111	27305	initial+	1	3	{GlimmerHMM_glimmerT_7770-T1;GlimmerHMM}
27306	27321	INTRON			{GlimmerHMM_glimmerT_7770-T1;GlimmerHMM}
27322	27342	terminal+	1	3	{GlimmerHMM_glimmerT_7770-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.01 28364-28582 orient(+) score(29700.00) noncoding_equivalent(29459.49) raw_noncoding(43133.27) offset(13673.78) 
28364	28504	initial+	1	3	{GlimmerHMM_glimmerT_7771-T1;GlimmerHMM}
28505	28573	INTRON			{GlimmerHMM_glimmerT_7771-T1;GlimmerHMM}
28574	28582	terminal+	1	3	{GlimmerHMM_glimmerT_7771-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.84 30669-33426 orient(+) score(791945.00) noncoding_equivalent(206084.23) raw_noncoding(228713.07) offset(22628.84) 
30669	30882	initial+	1	1	{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap}
30883	30977	INTRON			{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
30978	31648	internal+	2	3	{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
31649	31749	INTRON			{GeneMark_model.6652_t;GeneMark},{Augustus_model.g5224.t1;Augustus}
31750	32619	internal+	1	3	{GeneMark_model.6652_t;GeneMark},{Augustus_model.g5224.t1;Augustus}
32620	32890	INTRON			{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
32891	32933	internal+	1	1	{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
32934	33044	INTRON			{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
33045	33200	internal+	2	1	{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
33201	33322	INTRON			{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap},{Augustus_model.g5224.t1;Augustus}
33323	33426	terminal+	2	3	{GeneMark_model.6652_t;GeneMark},{GlimmerHMM_glimmerT_7772-T1;GlimmerHMM},{snap_scaffold_14-snap.75-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 4.22 36532-37978 orient(+) score(368887.00) noncoding_equivalent(87451.06) raw_noncoding(120361.17) offset(32910.11) 
36532	36763	initial+	1	1	{GlimmerHMM_glimmerT_7773-T1;GlimmerHMM},{snap_scaffold_14-snap.76-T1;snap},{GeneMark_model.6653_t;GeneMark}
36764	36823	INTRON			{GlimmerHMM_glimmerT_7773-T1;GlimmerHMM},{Augustus_model.g5225.t1;Augustus},{snap_scaffold_14-snap.76-T1;snap},{GeneMark_model.6653_t;GeneMark}
36824	37054	internal+	2	1	{GlimmerHMM_glimmerT_7773-T1;GlimmerHMM},{Augustus_model.g5225.t1;Augustus},{snap_scaffold_14-snap.76-T1;snap},{GeneMark_model.6653_t;GeneMark}
37055	37123	INTRON			{Augustus_model.g5225.t1;Augustus},{snap_scaffold_14-snap.76-T1;snap},{GeneMark_model.6653_t;GeneMark}
37124	37191	internal+	2	3	{Augustus_model.g5225.t1;Augustus},{snap_scaffold_14-snap.76-T1;snap},{GeneMark_model.6653_t;GeneMark}
37192	37260	INTRON			{Augustus_model.g5225.t1;Augustus},{snap_scaffold_14-snap.76-T1;snap},{GeneMark_model.6653_t;GeneMark}
37261	37430	internal+	1	2	{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6653_t;GeneMark}
37431	37533	INTRON			{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6653_t;GeneMark}
37534	37978	terminal+	3	3	{GeneMark_model.6653_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.93 39389-41531 orient(+) score(572361.00) noncoding_equivalent(57636.72) raw_noncoding(90363.65) offset(32726.92) 
39389	40172	initial+	1	1	{snap_scaffold_14-snap.77-T1;snap},{GeneMark_model.6654_t;GeneMark}
40173	40239	INTRON			{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6654_t;GeneMark}
40240	40307	internal+	2	3	{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6654_t;GeneMark}
40308	40368	INTRON			{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6654_t;GeneMark}
40369	40430	internal+	1	2	{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6654_t;GeneMark}
40431	40479	INTRON			{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6654_t;GeneMark}
40480	40906	internal+	3	3	{Augustus_model.g5225.t1;Augustus},{GeneMark_model.6654_t;GeneMark}
40907	40934	INTRON			{GlimmerHMM_glimmerT_7774-T1;GlimmerHMM},{snap_scaffold_14-snap.78-T1;snap}
40935	41531	terminal+	1	3	{GlimmerHMM_glimmerT_7774-T1;GlimmerHMM},{snap_scaffold_14-snap.78-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 22.41 42225-43839 orient(-) score(486115.00) noncoding_equivalent(21688.86) raw_noncoding(22290.86) offset(602.00) 
43702	42225	terminal-	5	6	{GlimmerHMM_glimmerT_7775-T1;GlimmerHMM},{snap_scaffold_14-snap.80-T1;snap},{Augustus_model.g5226.t1;Augustus},{GeneMark_model.6655_t;GeneMark}
43769	43703	INTRON			{GlimmerHMM_glimmerT_7775-T1;GlimmerHMM},{snap_scaffold_14-snap.80-T1;snap},{Augustus_model.g5226.t1;Augustus},{GeneMark_model.6655_t;GeneMark}
43839	43770	initial-	4	4	{GlimmerHMM_glimmerT_7775-T1;GlimmerHMM},{snap_scaffold_14-snap.80-T1;snap},{Augustus_model.g5226.t1;Augustus},{GeneMark_model.6655_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 15.07 45989-48727 orient(-) score(792339.00) noncoding_equivalent(52573.73) raw_noncoding(74166.06) offset(21592.33) 
48223	45989	terminal-	4	6	{Augustus_model.g5227.t1;Augustus},{snap_scaffold_14-snap.81-T1;snap},{GeneMark_model.6657_t;GeneMark}
48323	48224	INTRON			{Augustus_model.g5227.t1;Augustus},{snap_scaffold_14-snap.81-T1;snap},{GeneMark_model.6657_t;GeneMark}
48533	48324	internal-	4	6	{Augustus_model.g5227.t1;Augustus},{snap_scaffold_14-snap.81-T1;snap},{GeneMark_model.6657_t;GeneMark}
48643	48534	INTRON			{Augustus_model.g5227.t1;Augustus},{snap_scaffold_14-snap.81-T1;snap},{GeneMark_model.6657_t;GeneMark}
48727	48644	initial-	4	6	{snap_scaffold_14-snap.81-T1;snap},{GeneMark_model.6657_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.49 49036-49568 orient(+) score(89300.00) noncoding_equivalent(35839.78) raw_noncoding(46439.78) offset(10600.00) 
49036	49073	initial+	1	2	{snap_scaffold_14-snap.82-T1;snap}
49074	49246	INTRON			{snap_scaffold_14-snap.82-T1;snap}
49247	49568	terminal+	3	3	{snap_scaffold_14-snap.82-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 10.33 50155-51638 orient(-) score(422118.00) noncoding_equivalent(40851.02) raw_noncoding(58087.74) offset(17236.72) 
50553	50155	terminal-	4	6	{snap_scaffold_14-snap.83-T1;snap},{GeneMark_model.6659_t;GeneMark}
50657	50554	INTRON			{snap_scaffold_14-snap.83-T1;snap},{GeneMark_model.6659_t;GeneMark},{Augustus_model.g5227.t1;Augustus}
51428	50658	internal-	4	6	{GeneMark_model.6659_t;GeneMark},{Augustus_model.g5227.t1;Augustus}
51494	51429	INTRON			{GlimmerHMM_glimmerT_7776-T1;GlimmerHMM},{GeneMark_model.6659_t;GeneMark}
51638	51495	initial-	4	6	{GlimmerHMM_glimmerT_7776-T1;GlimmerHMM},{snap_scaffold_14-snap.83-T1;snap},{GeneMark_model.6659_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 8.09 53910-54678 orient(-) score(231469.00) noncoding_equivalent(28595.00) raw_noncoding(29197.00) offset(602.00) 
54053	53910	terminal-	4	6	{GeneMark_model.6660_t;GeneMark},{GlimmerHMM_glimmerT_7777-T1;GlimmerHMM},{Augustus_model.g5228.t1;Augustus},{snap_scaffold_14-snap.84-T1;snap}
54150	54054	INTRON			{GeneMark_model.6660_t;GeneMark},{GlimmerHMM_glimmerT_7777-T1;GlimmerHMM},{Augustus_model.g5228.t1;Augustus},{snap_scaffold_14-snap.84-T1;snap}
54678	54151	initial-	4	6	{GeneMark_model.6660_t;GeneMark},{GlimmerHMM_glimmerT_7777-T1;GlimmerHMM},{Augustus_model.g5228.t1;Augustus},{snap_scaffold_14-snap.84-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 3.07 56036-58381 orient(+) score(706146.00) noncoding_equivalent(230265.00) raw_noncoding(232071.00) offset(1806.00) 
56036	56146	initial+	1	3	{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}
56147	56754	INTRON			{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}
56755	56850	internal+	1	3	{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}
56851	56942	INTRON			{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}
56943	57019	internal+	1	2	{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}
57020	57090	INTRON			{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}
57091	58381	terminal+	3	3	{snap_scaffold_14-snap.85-T1;snap},{GlimmerHMM_glimmerT_7778-T1;GlimmerHMM},{Augustus_model.g5229.t1;Augustus},{GeneMark_model.6661_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.03 60665-61504 orient(+) score(252840.00) noncoding_equivalent(50267.00) raw_noncoding(51471.00) offset(1204.00) 
60665	60857	initial+	1	1	{GeneMark_model.6662_t;GeneMark},{GlimmerHMM_glimmerT_7779-T1;GlimmerHMM},{Augustus_model.g5230.t1;Augustus},{snap_scaffold_14-snap.86-T1;snap}
60858	60936	INTRON			{GeneMark_model.6662_t;GeneMark},{GlimmerHMM_glimmerT_7779-T1;GlimmerHMM},{Augustus_model.g5230.t1;Augustus},{snap_scaffold_14-snap.86-T1;snap}
60937	61287	internal+	2	1	{GeneMark_model.6662_t;GeneMark},{GlimmerHMM_glimmerT_7779-T1;GlimmerHMM},{Augustus_model.g5230.t1;Augustus},{snap_scaffold_14-snap.86-T1;snap}
61288	61379	INTRON			{GeneMark_model.6662_t;GeneMark},{GlimmerHMM_glimmerT_7779-T1;GlimmerHMM},{Augustus_model.g5230.t1;Augustus},{snap_scaffold_14-snap.86-T1;snap}
61380	61504	terminal+	2	3	{GeneMark_model.6662_t;GeneMark},{GlimmerHMM_glimmerT_7779-T1;GlimmerHMM},{Augustus_model.g5230.t1;Augustus},{snap_scaffold_14-snap.86-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 4.85 62443-65251 orient(-) score(780369.00) noncoding_equivalent(160798.00) raw_noncoding(183481.00) offset(22683.00) 
63832	62443	terminal-	6	6	{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark}
63913	63833	INTRON			{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark}
64349	63914	internal-	5	5	{snap_scaffold_14-snap.87-T1;snap}
64489	64350	INTRON			{snap_scaffold_14-snap.87-T1;snap},{GlimmerHMM_glimmerT_7781-T1;GlimmerHMM}
64586	64490	internal-	4	4	{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark}
64696	64587	INTRON			{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark}
64936	64697	internal-	4	6	{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark},{GlimmerHMM_glimmerT_7781-T1;GlimmerHMM}
65149	64937	INTRON			{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark},{GlimmerHMM_glimmerT_7781-T1;GlimmerHMM}
65251	65150	initial-	4	6	{snap_scaffold_14-snap.87-T1;snap},{Augustus_model.g5231.t1;Augustus},{GeneMark_model.6663_t;GeneMark},{GlimmerHMM_glimmerT_7781-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 13.44 65921-67712 orient(-) score(538180.00) noncoding_equivalent(40041.00) raw_noncoding(41245.00) offset(1204.00) 
66595	65921	terminal-	4	6	{snap_scaffold_14-snap.88-T1;snap},{Augustus_model.g5232.t1;Augustus},{GeneMark_model.6664_t;GeneMark},{GlimmerHMM_glimmerT_7782-T1;GlimmerHMM}
66671	66596	INTRON			{snap_scaffold_14-snap.88-T1;snap},{Augustus_model.g5232.t1;Augustus},{GeneMark_model.6664_t;GeneMark},{GlimmerHMM_glimmerT_7782-T1;GlimmerHMM}
67485	66672	internal-	6	6	{snap_scaffold_14-snap.88-T1;snap},{Augustus_model.g5232.t1;Augustus},{GeneMark_model.6664_t;GeneMark},{GlimmerHMM_glimmerT_7782-T1;GlimmerHMM}
67542	67486	INTRON			{snap_scaffold_14-snap.88-T1;snap},{Augustus_model.g5232.t1;Augustus},{GeneMark_model.6664_t;GeneMark},{GlimmerHMM_glimmerT_7782-T1;GlimmerHMM}
67712	67543	initial-	4	5	{snap_scaffold_14-snap.88-T1;snap},{GlimmerHMM_glimmerT_7782-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 20.79 68548-69857 orient(-) score(394310.00) noncoding_equivalent(18963.00) raw_noncoding(19565.00) offset(602.00) 
69528	68548	terminal-	4	6	{GlimmerHMM_glimmerT_7783-T1;GlimmerHMM},{snap_scaffold_14-snap.89-T1;snap},{Augustus_model.g5233.t1;Augustus},{GeneMark_model.6665_t;GeneMark}
69593	69529	INTRON			{GlimmerHMM_glimmerT_7783-T1;GlimmerHMM},{snap_scaffold_14-snap.89-T1;snap},{Augustus_model.g5233.t1;Augustus},{GeneMark_model.6665_t;GeneMark}
69857	69594	initial-	4	6	{GlimmerHMM_glimmerT_7783-T1;GlimmerHMM},{snap_scaffold_14-snap.89-T1;snap},{Augustus_model.g5233.t1;Augustus},{GeneMark_model.6665_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.07 70245-72165 orient(-) score(518086.00) noncoding_equivalent(73321.89) raw_noncoding(86971.00) offset(13649.11) 
70988	70245	terminal-	4	6	{GeneMark_model.6666_t;GeneMark},{snap_scaffold_14-snap.90-T1;snap}
71058	70989	INTRON			{Augustus_model.g5234.t1;Augustus},{GeneMark_model.6666_t;GeneMark},{snap_scaffold_14-snap.90-T1;snap}
71849	71059	internal-	5	6	{Augustus_model.g5234.t1;Augustus},{GeneMark_model.6666_t;GeneMark},{snap_scaffold_14-snap.90-T1;snap}
71915	71850	INTRON			{Augustus_model.g5234.t1;Augustus},{GeneMark_model.6666_t;GeneMark},{snap_scaffold_14-snap.90-T1;snap}
72165	71916	initial-	4	4	{Augustus_model.g5234.t1;Augustus},{GeneMark_model.6666_t;GeneMark},{snap_scaffold_14-snap.90-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.38 72745-74517 orient(+) score(509217.00) noncoding_equivalent(213842.67) raw_noncoding(220932.00) offset(7089.33) 
72745	72767	initial+	1	2	{snap_scaffold_14-snap.91-T1;snap},{Augustus_model.g5235.t1;Augustus},{GeneMark_model.6667_t;GeneMark},{GlimmerHMM_glimmerT_7785-T1;GlimmerHMM}
72768	73387	INTRON			{snap_scaffold_14-snap.91-T1;snap},{Augustus_model.g5235.t1;Augustus},{GeneMark_model.6667_t;GeneMark},{GlimmerHMM_glimmerT_7785-T1;GlimmerHMM}
73388	73746	internal+	3	1	{snap_scaffold_14-snap.91-T1;snap},{Augustus_model.g5235.t1;Augustus},{GeneMark_model.6667_t;GeneMark}
73747	73802	INTRON			{snap_scaffold_14-snap.91-T1;snap},{Augustus_model.g5235.t1;Augustus},{GeneMark_model.6667_t;GeneMark}
73803	73914	internal+	2	2	{snap_scaffold_14-snap.91-T1;snap},{Augustus_model.g5235.t1;Augustus},{GeneMark_model.6667_t;GeneMark}
73915	73934	INTRON			{snap_scaffold_14-snap.91-T1;snap}
73935	74517	terminal+	3	3	{snap_scaffold_14-snap.91-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 28.29 80263-82214 orient(+) score(587552.00) noncoding_equivalent(20769.00) raw_noncoding(21371.00) offset(602.00) 
80263	81062	initial+	1	2	{Augustus_model.g5236.t1;Augustus},{GeneMark_model.6668_t;GeneMark},{GlimmerHMM_glimmerT_7787-T1;GlimmerHMM},{snap_scaffold_14-snap.92-T1;snap}
81063	81133	INTRON			{Augustus_model.g5236.t1;Augustus},{GeneMark_model.6668_t;GeneMark},{GlimmerHMM_glimmerT_7787-T1;GlimmerHMM},{snap_scaffold_14-snap.92-T1;snap}
81134	82214	terminal+	3	3	{Augustus_model.g5236.t1;Augustus},{GeneMark_model.6668_t;GeneMark},{GlimmerHMM_glimmerT_7787-T1;GlimmerHMM},{snap_scaffold_14-snap.92-T1;snap}

