!! Predictions spanning range 4750 - 148622 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 18.13 4750-5823 orient(-) score(306378.00) noncoding_equivalent(16896.00) raw_noncoding(16896.00) offset(0.00) 
5823	4750	single-	4	6	{GlimmerHMM_glimmerT_1105-T1;GlimmerHMM},{GeneMark_model.1112_t;GeneMark}
21755	22267	internal+	1	3	{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
22268	22322	INTRON			{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
22323	22714	internal+	1	2	{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
22715	22772	INTRON			{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
22773	22984	internal+	3	1	{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
22985	23073	INTRON			{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
23074	23537	internal+	2	3	{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
23538	23596	INTRON			{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}
23597	23614	terminal+	1	3	{GeneMark_model.1118_t;GeneMark},{GlimmerHMM_glimmerT_1112-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 9.77 24210-25957 orient(+) score(526148.00) noncoding_equivalent(53879.00) raw_noncoding(55685.00) offset(1806.00) 
24210	24608	initial+	1	3	{GeneMark_model.1119_t;GeneMark},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}
24609	24682	INTRON			{GeneMark_model.1119_t;GeneMark},{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}
24683	24729	internal+	1	2	{GeneMark_model.1119_t;GeneMark},{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}
24730	24783	INTRON			{GeneMark_model.1119_t;GeneMark},{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}
24784	25461	internal+	3	2	{GeneMark_model.1119_t;GeneMark},{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}
25462	25518	INTRON			{GeneMark_model.1119_t;GeneMark},{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}
25519	25957	terminal+	3	3	{GeneMark_model.1119_t;GeneMark},{snap_scaffold_1-snap.962-T1;snap},{Augustus_model.g997.t1;Augustus},{GlimmerHMM_glimmerT_1113-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.20 26301-26898 orient(-) score(181589.00) noncoding_equivalent(56755.20) raw_noncoding(100198.00) offset(43442.80) 
26439	26301	terminal-	6	6	{snap_scaffold_1-snap.963-T1;snap},{GlimmerHMM_glimmerT_1114-T1;GlimmerHMM},{GeneMark_model.1120_t;GeneMark},{HiQ_model.g998.t1;HiQ}
26506	26440	INTRON			{snap_scaffold_1-snap.963-T1;snap},{GlimmerHMM_glimmerT_1114-T1;GlimmerHMM},{GeneMark_model.1120_t;GeneMark},{HiQ_model.g998.t1;HiQ},{ev_type:exonerate/ID=match.2507919.259/Target=TIM14_GIBZE;exonerate}
26634	26507	internal-	4	5	{snap_scaffold_1-snap.963-T1;snap},{GeneMark_model.1120_t;GeneMark},{HiQ_model.g998.t1;HiQ},{ev_type:exonerate/ID=match.2507919.259/Target=TIM14_GIBZE;exonerate}
26847	26635	INTRON			{GeneMark_model.1120_t;GeneMark},{HiQ_model.g998.t1;HiQ},{ev_type:exonerate/ID=match.2507919.259/Target=TIM14_GIBZE;exonerate}
26898	26848	initial-	4	6	{HiQ_model.g998.t1;HiQ}

# EVM prediction: Mode:STANDARD S-ratio: 6.14 27489-28075 orient(-) score(175087.00) noncoding_equivalent(28493.75) raw_noncoding(29095.75) offset(602.00) 
27893	27489	terminal-	4	6	{GeneMark_model.1121_t;GeneMark},{Augustus_model.g999.t1;Augustus},{snap_scaffold_1-snap.964-T1;snap},{GlimmerHMM_glimmerT_1115-T1;GlimmerHMM}
27985	27894	INTRON			{GeneMark_model.1121_t;GeneMark},{Augustus_model.g999.t1;Augustus},{snap_scaffold_1-snap.964-T1;snap},{GlimmerHMM_glimmerT_1115-T1;GlimmerHMM}
28075	27986	initial-	4	6	{GeneMark_model.1121_t;GeneMark},{Augustus_model.g999.t1;Augustus},{GlimmerHMM_glimmerT_1115-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 7.20 36202-37799 orient(+) score(479298.00) noncoding_equivalent(66543.78) raw_noncoding(67145.78) offset(602.00) 
36202	36794	initial+	1	2	{GlimmerHMM_glimmerT_1116-T1;GlimmerHMM},{Augustus_model.g1000.t1;Augustus}
36795	37012	INTRON			{GeneMark_model.1122_t;GeneMark},{GlimmerHMM_glimmerT_1116-T1;GlimmerHMM},{Augustus_model.g1000.t1;Augustus},{snap_scaffold_1-snap.965-T1;snap}
37013	37799	terminal+	3	3	{GeneMark_model.1122_t;GeneMark},{GlimmerHMM_glimmerT_1116-T1;GlimmerHMM},{Augustus_model.g1000.t1;Augustus},{snap_scaffold_1-snap.965-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 7.63 38977-40282 orient(+) score(392506.00) noncoding_equivalent(51471.00) raw_noncoding(52675.00) offset(1204.00) 
38977	39365	initial+	1	2	{Augustus_model.g1001.t1;Augustus},{GlimmerHMM_glimmerT_1117-T1;GlimmerHMM},{GeneMark_model.1123_t;GeneMark}
39366	39437	INTRON			{snap_scaffold_1-snap.966-T1;snap},{Augustus_model.g1001.t1;Augustus},{GlimmerHMM_glimmerT_1117-T1;GlimmerHMM},{GeneMark_model.1123_t;GeneMark}
39438	39519	internal+	3	3	{snap_scaffold_1-snap.966-T1;snap},{Augustus_model.g1001.t1;Augustus},{GlimmerHMM_glimmerT_1117-T1;GlimmerHMM},{GeneMark_model.1123_t;GeneMark}
39520	39622	INTRON			{snap_scaffold_1-snap.966-T1;snap},{Augustus_model.g1001.t1;Augustus},{GlimmerHMM_glimmerT_1117-T1;GlimmerHMM},{GeneMark_model.1123_t;GeneMark}
39623	40282	terminal+	1	3	{snap_scaffold_1-snap.966-T1;snap},{Augustus_model.g1001.t1;Augustus},{GlimmerHMM_glimmerT_1117-T1;GlimmerHMM},{GeneMark_model.1123_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.96 43695-44487 orient(+) score(198893.00) noncoding_equivalent(67257.86) raw_noncoding(96499.10) offset(29241.24) 
43695	43921	initial+	1	2	{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{GlimmerHMM_glimmerT_1118-T1;GlimmerHMM}
43922	44029	INTRON			{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{snap_scaffold_1-snap.967-T1;snap}
44030	44083	internal+	3	2	{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{snap_scaffold_1-snap.967-T1;snap}
44084	44180	INTRON			{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{snap_scaffold_1-snap.967-T1;snap}
44181	44276	internal+	3	2	{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{GlimmerHMM_glimmerT_1118-T1;GlimmerHMM},{snap_scaffold_1-snap.967-T1;snap}
44277	44354	INTRON			{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{GlimmerHMM_glimmerT_1118-T1;GlimmerHMM}
44355	44487	terminal+	3	3	{Augustus_model.g1002.t1;Augustus},{GeneMark_model.1124_t;GeneMark},{GlimmerHMM_glimmerT_1118-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 72.90 45445-48168 orient(+) score(808830.00) noncoding_equivalent(11094.70) raw_noncoding(11094.70) offset(0.00) 
45445	48168	single+	1	3	{GeneMark_model.1125_t;GeneMark},{GlimmerHMM_glimmerT_1119-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.04 48979-49552 orient(+) score(135780.00) noncoding_equivalent(44615.19) raw_noncoding(52287.19) offset(7672.00) 
48979	49186	initial+	1	1	{GlimmerHMM_glimmerT_1120-T1;GlimmerHMM},{GeneMark_model.1126_t;GeneMark}
49187	49265	INTRON			{GlimmerHMM_glimmerT_1120-T1;GlimmerHMM},{GeneMark_model.1126_t;GeneMark}
49266	49552	terminal+	2	3	{GlimmerHMM_glimmerT_1120-T1;GlimmerHMM},{GeneMark_model.1126_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 10.98 53966-57864 orient(+) score(1118299.00) noncoding_equivalent(101869.26) raw_noncoding(149006.22) offset(47136.95) 
53966	53972	initial+	1	1	{Augustus_model.g1004.t1;Augustus},{snap_scaffold_1-snap.970-T1;snap},{GeneMark_model.1127_t;GeneMark}
53973	54201	INTRON			{Augustus_model.g1004.t1;Augustus},{snap_scaffold_1-snap.970-T1;snap},{GeneMark_model.1127_t;GeneMark}
54202	54280	internal+	2	2	{Augustus_model.g1004.t1;Augustus},{snap_scaffold_1-snap.970-T1;snap},{GeneMark_model.1127_t;GeneMark}
54281	54518	INTRON			{Augustus_model.g1004.t1;Augustus},{snap_scaffold_1-snap.970-T1;snap},{GeneMark_model.1127_t;GeneMark}
54519	57864	terminal+	3	3	{Augustus_model.g1004.t1;Augustus},{snap_scaffold_1-snap.970-T1;snap},{GlimmerHMM_glimmerT_1121-T1;GlimmerHMM},{GeneMark_model.1127_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.06 58575-58899 orient(-) score(97825.00) noncoding_equivalent(24080.00) raw_noncoding(24682.00) offset(602.00) 
58760	58575	terminal-	4	6	{Augustus_model.g1005.t1;Augustus},{GeneMark_model.1128_t;GeneMark},{snap_scaffold_1-snap.971-T1;snap},{GlimmerHMM_glimmerT_1122-T1;GlimmerHMM}
58842	58761	INTRON			{Augustus_model.g1005.t1;Augustus},{GeneMark_model.1128_t;GeneMark},{snap_scaffold_1-snap.971-T1;snap},{GlimmerHMM_glimmerT_1122-T1;GlimmerHMM}
58899	58843	initial-	4	6	{Augustus_model.g1005.t1;Augustus},{GeneMark_model.1128_t;GeneMark},{GlimmerHMM_glimmerT_1122-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 17.56 59708-62305 orient(+) score(764451.00) noncoding_equivalent(43535.16) raw_noncoding(43535.16) offset(0.00) 
59708	62305	single+	1	3	{GeneMark_model.1129_t;GeneMark},{GlimmerHMM_glimmerT_1123-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 8.89 62629-65464 orient(-) score(810856.00) noncoding_equivalent(91179.41) raw_noncoding(98882.23) offset(7702.82) 
63782	62629	terminal-	5	6	{GeneMark_model.1130_t;GeneMark}
63859	63783	INTRON			{Augustus_model.g1007.t1;Augustus},{snap_scaffold_1-snap.973-T1;snap},{GeneMark_model.1130_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
65262	63860	internal-	6	4	{Augustus_model.g1007.t1;Augustus},{GeneMark_model.1130_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
65336	65263	INTRON			{Augustus_model.g1007.t1;Augustus},{GeneMark_model.1130_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}
65464	65337	initial-	4	5	{Augustus_model.g1007.t1;Augustus},{GeneMark_model.1130_t;GeneMark},{GlimmerHMM_glimmerT_1124-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 7.57 87643-88868 orient(-) score(359214.00) noncoding_equivalent(47429.20) raw_noncoding(57341.97) offset(9912.76) 
88382	87643	terminal-	5	6	{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{snap_scaffold_1-snap.974-T1;snap},{GeneMark_model.1131_t;GeneMark}
88481	88383	INTRON			{Augustus_model.g1008.t1;Augustus},{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{snap_scaffold_1-snap.974-T1;snap},{GeneMark_model.1131_t;GeneMark}
88773	88482	internal-	4	4	{Augustus_model.g1008.t1;Augustus},{GlimmerHMM_glimmerT_1126-T1;GlimmerHMM},{snap_scaffold_1-snap.974-T1;snap},{GeneMark_model.1131_t;GeneMark}
88862	88774	INTRON			{snap_scaffold_1-snap.974-T1;snap},{GeneMark_model.1131_t;GeneMark}
88868	88863	initial-	4	6	{snap_scaffold_1-snap.974-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.39 88906-89217 orient(-) score(71141.00) noncoding_equivalent(29718.07) raw_noncoding(37188.07) offset(7470.00) 
89109	88906	terminal-	4	6	{snap_scaffold_1-snap.975-T1;snap}
89181	89110	INTRON			{snap_scaffold_1-snap.975-T1;snap},{GeneMark_model.1131_t;GeneMark}
89217	89182	initial-	4	6	{GeneMark_model.1131_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 18.82 93428-95219 orient(-) score(539154.00) noncoding_equivalent(28642.06) raw_noncoding(29337.77) offset(695.71) 
94981	93428	terminal-	4	6	{GeneMark_model.1132_t;GeneMark},{snap_scaffold_1-snap.976-T1;snap},{Augustus_model.g1009.t1;Augustus},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM}
95078	94982	INTRON			{GeneMark_model.1132_t;GeneMark},{snap_scaffold_1-snap.976-T1;snap},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM}
95219	95079	initial-	4	6	{GeneMark_model.1132_t;GeneMark},{GlimmerHMM_glimmerT_1127-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 8.58 96484-99080 orient(-) score(735957.00) noncoding_equivalent(85751.36) raw_noncoding(95399.00) offset(9647.64) 
96531	96484	terminal-	4	6	{snap_scaffold_1-snap.977-T1;snap},{Augustus_model.g1010.t1;Augustus},{GeneMark_model.1133_t;GeneMark}
96595	96532	INTRON			{snap_scaffold_1-snap.977-T1;snap},{Augustus_model.g1010.t1;Augustus},{GeneMark_model.1133_t;GeneMark}
96963	96596	internal-	5	6	{snap_scaffold_1-snap.977-T1;snap}
97025	96964	INTRON			{snap_scaffold_1-snap.977-T1;snap},{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM}
97980	97026	internal-	4	4	{snap_scaffold_1-snap.977-T1;snap},{Augustus_model.g1010.t1;Augustus},{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1133_t;GeneMark}
98075	97981	INTRON			{snap_scaffold_1-snap.977-T1;snap},{Augustus_model.g1010.t1;Augustus},{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1133_t;GeneMark}
99080	98076	initial-	4	6	{GlimmerHMM_glimmerT_1128-T1;GlimmerHMM},{GeneMark_model.1133_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.24 107408-109516 orient(+) score(630909.00) noncoding_equivalent(194734.00) raw_noncoding(195336.00) offset(602.00) 
107408	108175	initial+	1	3	{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM},{GeneMark_model.1134_t;GeneMark}
108176	108811	INTRON			{snap_scaffold_1-snap.978-T1;snap},{Augustus_model.g1011.t1;Augustus},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM},{GeneMark_model.1134_t;GeneMark}
108812	109516	terminal+	1	3	{snap_scaffold_1-snap.978-T1;snap},{Augustus_model.g1011.t1;Augustus},{GlimmerHMM_glimmerT_1129-T1;GlimmerHMM},{GeneMark_model.1134_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.62 110687-111124 orient(-) score(87600.00) noncoding_equivalent(54138.00) raw_noncoding(64638.00) offset(10500.00) 
110905	110687	terminal-	4	6	{GeneMark_model.1135_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM}
111007	110906	INTRON			{GeneMark_model.1135_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM}
111124	111008	initial-	4	6	{GeneMark_model.1135_t;GeneMark},{GlimmerHMM_glimmerT_1130-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 28.68 114708-119784 orient(+) score(1528177.00) noncoding_equivalent(53277.00) raw_noncoding(54481.00) offset(1204.00) 
114708	117620	initial+	1	3	{GeneMark_model.1136_t;GeneMark},{Augustus_model.g1012.t1;Augustus},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
117621	117736	INTRON			{GeneMark_model.1136_t;GeneMark},{Augustus_model.g1012.t1;Augustus},{snap_scaffold_1-snap.979-T1;snap},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
117737	118012	internal+	1	3	{GeneMark_model.1136_t;GeneMark},{Augustus_model.g1012.t1;Augustus},{snap_scaffold_1-snap.979-T1;snap},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
118013	118077	INTRON			{GeneMark_model.1136_t;GeneMark},{Augustus_model.g1012.t1;Augustus},{snap_scaffold_1-snap.979-T1;snap},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}
118078	119784	terminal+	1	3	{GeneMark_model.1136_t;GeneMark},{Augustus_model.g1012.t1;Augustus},{snap_scaffold_1-snap.979-T1;snap},{GlimmerHMM_glimmerT_1131-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.65 120421-121730 orient(-) score(390610.00) noncoding_equivalent(107071.56) raw_noncoding(108877.56) offset(1806.00) 
120759	120421	terminal-	4	6	{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{snap_scaffold_1-snap.980-T1;snap},{GeneMark_model.1137_t;GeneMark}
120896	120760	INTRON			{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{snap_scaffold_1-snap.980-T1;snap},{GeneMark_model.1137_t;GeneMark}
121232	120897	internal-	4	6	{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{snap_scaffold_1-snap.980-T1;snap},{GeneMark_model.1137_t;GeneMark}
121319	121233	INTRON			{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{snap_scaffold_1-snap.980-T1;snap},{GeneMark_model.1137_t;GeneMark}
121510	121320	internal-	5	6	{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{snap_scaffold_1-snap.980-T1;snap},{GeneMark_model.1137_t;GeneMark}
121636	121511	INTRON			{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{snap_scaffold_1-snap.980-T1;snap},{GeneMark_model.1137_t;GeneMark}
121730	121637	initial-	4	4	{GlimmerHMM_glimmerT_1132-T1;GlimmerHMM},{Augustus_model.g1013.t1;Augustus},{GeneMark_model.1137_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.90 122464-123595 orient(+) score(299174.00) noncoding_equivalent(103127.14) raw_noncoding(136006.00) offset(32878.86) 
122464	122497	initial+	1	1	{Augustus_model.g1014.t1;Augustus},{GlimmerHMM_glimmerT_1133-T1;GlimmerHMM},{GeneMark_model.1138_t;GeneMark}
