!! Predictions spanning range 252 - 16566 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 3.33 252-1799 orient(-) score(366067.00) noncoding_equivalent(110087.96) raw_noncoding(168877.00) offset(58789.04) 
319	252	terminal-	5	6	{GeneMark_model.10341_t;GeneMark},{snap_scaffold_389-snap.1-T1;snap}
3911	4073	internal+	1	1	{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
4074	4123	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM}
4124	4189	internal+	2	1	{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM}
4190	4250	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark}
4251	4336	internal+	2	3	{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{snap_scaffold_389-snap.2-T1;snap}
4337	4406	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{snap_scaffold_389-snap.2-T1;snap}
4407	4869	internal+	1	1	{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{snap_scaffold_389-snap.2-T1;snap}
4870	4932	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
4933	6810	internal+	2	1	{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{snap_scaffold_389-snap.2-T1;snap}
6811	6865	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{snap_scaffold_389-snap.2-T1;snap}
6866	7026	internal+	2	3	{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM},{snap_scaffold_389-snap.2-T1;snap}
7027	7100	INTRON			{Augustus_model.g8757.t1;Augustus},{GeneMark_model.10342_t;GeneMark},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM}
7101	7745	terminal+	1	3	{Augustus_model.g8757.t1;Augustus},{GlimmerHMM_glimmerT_10487-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 172.04 8904-9977 orient(+) score(321439.00) noncoding_equivalent(1868.41) raw_noncoding(1868.41) offset(0.00) 
8904	9977	single+	1	3	{GlimmerHMM_glimmerT_10488-T1;GlimmerHMM},{GeneMark_model.10343_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.38 11239-13542 orient(+) score(513339.00) noncoding_equivalent(151863.33) raw_noncoding(266997.38) offset(115134.05) 
11239	11614	initial+	1	1	{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM},{snap_scaffold_389-snap.4-T1;snap},{GeneMark_model.10344_t;GeneMark}
11615	11789	INTRON			{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM},{Augustus_model.g8758.t1;Augustus},{snap_scaffold_389-snap.4-T1;snap}
11790	11811	internal+	2	2	{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM},{Augustus_model.g8758.t1;Augustus},{snap_scaffold_389-snap.4-T1;snap}
11812	11904	INTRON			{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM},{Augustus_model.g8758.t1;Augustus},{snap_scaffold_389-snap.4-T1;snap}
11905	12224	internal+	3	1	{snap_scaffold_389-snap.4-T1;snap},{GeneMark_model.10344_t;GeneMark}
12225	12360	INTRON			{snap_scaffold_389-snap.4-T1;snap}
12361	12475	internal+	2	2	{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM}
12476	12569	INTRON			{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM}
12570	13055	internal+	3	2	{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM}
13056	13367	INTRON			{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM}
13368	13542	terminal+	3	3	{GlimmerHMM_glimmerT_10490-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 58.30 15182-16566 orient(+) score(402608.00) noncoding_equivalent(6906.16) raw_noncoding(7177.00) offset(270.84) 
15182	15936	initial+	1	2	{snap_scaffold_389-snap.6-T1;snap},{GlimmerHMM_glimmerT_10491-T1;GlimmerHMM},{Augustus_model.g8759.t1;Augustus}
15937	16007	INTRON			{GeneMark_model.10344_t;GeneMark}
16008	16566	terminal+	3	3	{GeneMark_model.10344_t;GeneMark}

