!! Predictions spanning range 2099 - 101418 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 294.41 2099-7564 orient(+) score(1639700.00) noncoding_equivalent(5569.51) raw_noncoding(5569.51) offset(0.00) 
2099	7564	single+	1	3	{GlimmerHMM_glimmerT_3793-T1;GlimmerHMM}
# EVM prediction: Mode:STANDARD S-ratio: 9.69 28147-30111 orient(-) score(581400.00) noncoding_equivalent(59998.00) raw_noncoding(61365.00) offset(1367.00) 
29469	28147	terminal-	4	6	{GlimmerHMM_glimmerT_3801-T1;GlimmerHMM},{GeneMark_model.3296_t;GeneMark},{snap_scaffold_4-snap.633-T1;snap}
29551	29470	INTRON			{GlimmerHMM_glimmerT_3801-T1;GlimmerHMM},{GeneMark_model.3296_t;GeneMark},{snap_scaffold_4-snap.633-T1;snap}
29702	29552	internal-	6	6	{GlimmerHMM_glimmerT_3801-T1;GlimmerHMM},{GeneMark_model.3296_t;GeneMark},{snap_scaffold_4-snap.633-T1;snap}
29791	29703	INTRON			{GlimmerHMM_glimmerT_3801-T1;GlimmerHMM},{GeneMark_model.3296_t;GeneMark},{snap_scaffold_4-snap.633-T1;snap}
30111	29792	initial-	4	5	{GlimmerHMM_glimmerT_3801-T1;GlimmerHMM},{GeneMark_model.3296_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.01 30943-31701 orient(+) score(227700.00) noncoding_equivalent(25277.00) raw_noncoding(25959.00) offset(682.00) 
30943	31260	initial+	1	3	{GlimmerHMM_glimmerT_3802-T1;GlimmerHMM},{snap_scaffold_4-snap.634-T1;snap}
31261	31344	INTRON			{GlimmerHMM_glimmerT_3802-T1;GlimmerHMM},{snap_scaffold_4-snap.634-T1;snap},{GeneMark_model.3297_t;GeneMark}
31345	31701	terminal+	1	3	{GlimmerHMM_glimmerT_3802-T1;GlimmerHMM},{snap_scaffold_4-snap.634-T1;snap},{GeneMark_model.3297_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.73 31919-33142 orient(-) score(360900.00) noncoding_equivalent(46693.00) raw_noncoding(48024.00) offset(1331.00) 
32017	31919	terminal-	4	6	{GeneMark_model.3298_t;GeneMark},{GlimmerHMM_glimmerT_3803-T1;GlimmerHMM},{snap_scaffold_4-snap.635-T1;snap}
32098	32018	INTRON			{GeneMark_model.3298_t;GeneMark},{GlimmerHMM_glimmerT_3803-T1;GlimmerHMM},{snap_scaffold_4-snap.635-T1;snap}
32916	32099	internal-	5	6	{GlimmerHMM_glimmerT_3803-T1;GlimmerHMM},{snap_scaffold_4-snap.635-T1;snap}
32970	32917	INTRON			{GeneMark_model.3298_t;GeneMark},{GlimmerHMM_glimmerT_3803-T1;GlimmerHMM},{snap_scaffold_4-snap.635-T1;snap}
33142	32971	initial-	4	4	{GeneMark_model.3298_t;GeneMark},{GlimmerHMM_glimmerT_3803-T1;GlimmerHMM},{snap_scaffold_4-snap.635-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 4.04 34053-34699 orient(+) score(180200.00) noncoding_equivalent(44654.00) raw_noncoding(57347.00) offset(12693.00) 
34053	34087	initial+	1	2	{GlimmerHMM_glimmerT_3804-T1;GlimmerHMM},{snap_scaffold_4-snap.636-T1;snap},{GeneMark_model.3299_t;GeneMark}
34088	34145	INTRON			{GlimmerHMM_glimmerT_3804-T1;GlimmerHMM},{snap_scaffold_4-snap.636-T1;snap},{GeneMark_model.3299_t;GeneMark}
34146	34306	internal+	3	1	{GlimmerHMM_glimmerT_3804-T1;GlimmerHMM},{snap_scaffold_4-snap.636-T1;snap},{GeneMark_model.3299_t;GeneMark}
34307	34445	INTRON			{GlimmerHMM_glimmerT_3804-T1;GlimmerHMM},{snap_scaffold_4-snap.636-T1;snap}
34446	34699	terminal+	2	3	{GlimmerHMM_glimmerT_3804-T1;GlimmerHMM},{snap_scaffold_4-snap.636-T1;snap},{GeneMark_model.3299_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.17 35888-38218 orient(+) score(557100.00) noncoding_equivalent(133595.16) raw_noncoding(231602.05) offset(98006.90) 
35888	35905	initial+	1	3	{snap_scaffold_4-snap.637-T1;snap}
35906	35959	INTRON			{snap_scaffold_4-snap.637-T1;snap}
35960	35994	internal+	1	2	{snap_scaffold_4-snap.637-T1;snap}
35995	36372	INTRON			{snap_scaffold_4-snap.637-T1;snap}
36373	36529	internal+	3	3	{snap_scaffold_4-snap.637-T1;snap}
36530	36619	INTRON			{GeneMark_model.3300_t;GeneMark},{GlimmerHMM_glimmerT_3805-T1;GlimmerHMM},{snap_scaffold_4-snap.637-T1;snap}
36620	37612	internal+	1	3	{GeneMark_model.3300_t;GeneMark},{GlimmerHMM_glimmerT_3805-T1;GlimmerHMM},{snap_scaffold_4-snap.637-T1;snap}
37613	37673	INTRON			{GeneMark_model.3300_t;GeneMark},{GlimmerHMM_glimmerT_3805-T1;GlimmerHMM},{snap_scaffold_4-snap.637-T1;snap}
37674	37957	internal+	1	2	{GeneMark_model.3300_t;GeneMark},{snap_scaffold_4-snap.637-T1;snap}
37958	38018	INTRON			{GeneMark_model.3300_t;GeneMark}
38019	38123	internal+	3	2	{GeneMark_model.3300_t;GeneMark}
38124	38175	INTRON			{GeneMark_model.3300_t;GeneMark}
38176	38218	terminal+	3	3	{GeneMark_model.3300_t;GeneMark},{snap_scaffold_4-snap.637-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 2.40 39113-40627 orient(+) score(416100.00) noncoding_equivalent(173512.00) raw_noncoding(210015.00) offset(36503.00) 
39113	39157	initial+	1	3	{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
39158	39306	INTRON			{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
39307	39429	internal+	1	3	{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
39430	39813	INTRON			{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
39814	40299	internal+	1	3	{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
40300	40398	INTRON			{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
40399	40518	internal+	1	3	{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
40519	40597	INTRON			{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}
40598	40627	terminal+	1	3	{GeneMark_model.3301_t;GeneMark},{GlimmerHMM_glimmerT_3806-T1;GlimmerHMM},{snap_scaffold_4-snap.638-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 7.23 41128-42057 orient(-) score(273600.00) noncoding_equivalent(37838.42) raw_noncoding(38544.42) offset(706.00) 
41779	41128	terminal-	6	6	{snap_scaffold_4-snap.639-T1;snap},{GlimmerHMM_glimmerT_3807-T1;GlimmerHMM},{GeneMark_model.3302_t;GeneMark}
41887	41780	INTRON			{snap_scaffold_4-snap.639-T1;snap},{GlimmerHMM_glimmerT_3807-T1;GlimmerHMM},{GeneMark_model.3302_t;GeneMark}
42057	41888	initial-	4	5	{snap_scaffold_4-snap.639-T1;snap},{GeneMark_model.3302_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 18.21 42528-44340 orient(-) score(524000.00) noncoding_equivalent(28777.51) raw_noncoding(36368.20) offset(7590.69) 
42653	42528	terminal-	4	6	{snap_scaffold_4-snap.640-T1;snap},{GeneMark_model.3303_t;GeneMark}
42726	42654	INTRON			{snap_scaffold_4-snap.640-T1;snap},{GeneMark_model.3303_t;GeneMark}
44340	42727	initial-	4	6	{GlimmerHMM_glimmerT_3807-T1;GlimmerHMM},{snap_scaffold_4-snap.640-T1;snap},{GeneMark_model.3303_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 4.37 45768-47358 orient(+) score(363300.00) noncoding_equivalent(83197.67) raw_noncoding(114169.33) offset(30971.67) 
45768	46062	initial+	1	1	{snap_scaffold_4-snap.641-T1;snap}
46063	46409	INTRON			{snap_scaffold_4-snap.641-T1;snap}
46410	46742	internal+	2	1	{snap_scaffold_4-snap.641-T1;snap}
46743	46804	INTRON			{snap_scaffold_4-snap.641-T1;snap},{GeneMark_model.3304_t;GeneMark},{GlimmerHMM_glimmerT_3809-T1;GlimmerHMM}
46805	47358	terminal+	2	3	{snap_scaffold_4-snap.641-T1;snap},{GeneMark_model.3304_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.53 48092-49542 orient(-) score(205600.00) noncoding_equivalent(134799.02) raw_noncoding(254585.02) offset(119786.00) 
48298	48092	terminal-	4	6	{GlimmerHMM_glimmerT_3810-T1;GlimmerHMM}
49086	48299	INTRON			{GlimmerHMM_glimmerT_3810-T1;GlimmerHMM}
49542	49087	initial-	4	6	{GlimmerHMM_glimmerT_3810-T1;GlimmerHMM},{snap_scaffold_4-snap.642-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 45.64 51310-54633 orient(-) score(984600.00) noncoding_equivalent(21572.45) raw_noncoding(27924.00) offset(6351.55) 
54283	51310	terminal-	6	6	{GeneMark_model.3306_t;GeneMark},{GlimmerHMM_glimmerT_3811-T1;GlimmerHMM}
54343	54284	INTRON			{GeneMark_model.3306_t;GeneMark},{GlimmerHMM_glimmerT_3811-T1;GlimmerHMM}
54633	54344	initial-	4	5	{GeneMark_model.3306_t;GeneMark},{snap_scaffold_4-snap.643-T1;snap},{GlimmerHMM_glimmerT_3811-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 11.58 55383-56403 orient(+) score(293100.00) noncoding_equivalent(25302.65) raw_noncoding(37439.43) offset(12136.78) 
55383	55388	initial+	1	3	{GeneMark_model.3307_t;GeneMark}
55389	55451	INTRON			{GeneMark_model.3307_t;GeneMark}
55452	55713	internal+	1	1	{GlimmerHMM_glimmerT_3812-T1;GlimmerHMM},{snap_scaffold_4-snap.644-T1;snap},{GeneMark_model.3307_t;GeneMark}
55714	55774	INTRON			{GlimmerHMM_glimmerT_3812-T1;GlimmerHMM},{snap_scaffold_4-snap.644-T1;snap},{GeneMark_model.3307_t;GeneMark}
55775	56403	terminal+	2	3	{GlimmerHMM_glimmerT_3812-T1;GlimmerHMM},{snap_scaffold_4-snap.644-T1;snap},{GeneMark_model.3307_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.04 58205-58546 orient(+) score(83500.00) noncoding_equivalent(11869.00) raw_noncoding(23742.00) offset(11873.00) 
58205	58430	initial+	1	1	{GeneMark_model.3308_t;GeneMark},{snap_scaffold_4-snap.645-T1;snap}
58431	58505	INTRON			{GeneMark_model.3308_t;GeneMark}
58506	58546	terminal+	2	3	{GeneMark_model.3308_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 6.37 59455-60644 orient(+) score(343800.00) noncoding_equivalent(53970.00) raw_noncoding(57290.00) offset(3320.00) 
59455	59523	initial+	1	3	{GlimmerHMM_glimmerT_3814-T1;GlimmerHMM},{GeneMark_model.3309_t;GeneMark},{snap_scaffold_4-snap.646-T1;snap}
59524	59655	INTRON			{GlimmerHMM_glimmerT_3814-T1;GlimmerHMM},{GeneMark_model.3309_t;GeneMark}
59656	60192	internal+	1	3	{GlimmerHMM_glimmerT_3814-T1;GlimmerHMM},{GeneMark_model.3309_t;GeneMark}
60193	60284	INTRON			{GlimmerHMM_glimmerT_3814-T1;GlimmerHMM},{GeneMark_model.3309_t;GeneMark},{snap_scaffold_4-snap.646-T1;snap}
60285	60644	terminal+	1	3	{GlimmerHMM_glimmerT_3814-T1;GlimmerHMM},{GeneMark_model.3309_t;GeneMark},{snap_scaffold_4-snap.646-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 13.01 61774-63887 orient(-) score(609400.00) noncoding_equivalent(46856.27) raw_noncoding(60614.00) offset(13757.73) 
62018	61774	terminal-	5	6	{GeneMark_model.3310_t;GeneMark},{GlimmerHMM_glimmerT_3815-T1;GlimmerHMM}
62099	62019	INTRON			{GeneMark_model.3310_t;GeneMark},{GlimmerHMM_glimmerT_3815-T1;GlimmerHMM}
63573	62100	internal-	4	4	{GlimmerHMM_glimmerT_3815-T1;GlimmerHMM}
63701	63574	INTRON			{snap_scaffold_4-snap.647-T1;snap},{GlimmerHMM_glimmerT_3815-T1;GlimmerHMM}
63887	63702	initial-	4	6	{GeneMark_model.3310_t;GeneMark},{snap_scaffold_4-snap.647-T1;snap},{GlimmerHMM_glimmerT_3815-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 13.21 64775-65680 orient(+) score(271300.00) noncoding_equivalent(20544.40) raw_noncoding(21208.40) offset(664.00) 
64775	65493	initial+	1	2	{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.648-T1;snap},{GeneMark_model.3311_t;GeneMark}
65494	65559	INTRON			{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.648-T1;snap},{GeneMark_model.3311_t;GeneMark}
65560	65680	terminal+	3	3	{snap_scaffold_4-snap.648-T1;snap},{GeneMark_model.3311_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 5.56 66231-68597 orient(+) score(661600.00) noncoding_equivalent(119057.16) raw_noncoding(140667.00) offset(21609.84) 
66231	66344	initial+	1	3	{snap_scaffold_4-snap.649-T1;snap}
66345	66402	INTRON			{snap_scaffold_4-snap.649-T1;snap},{GeneMark_model.3312_t;GeneMark}
66403	66675	internal+	1	3	{snap_scaffold_4-snap.649-T1;snap},{GeneMark_model.3312_t;GeneMark}
66676	66735	INTRON			{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.649-T1;snap},{GeneMark_model.3312_t;GeneMark}
66736	66858	internal+	1	3	{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.649-T1;snap},{GeneMark_model.3312_t;GeneMark}
66859	67109	INTRON			{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.649-T1;snap}
67110	67667	internal+	1	3	{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.649-T1;snap}
67668	67739	INTRON			{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.649-T1;snap},{GeneMark_model.3312_t;GeneMark}
67740	68597	terminal+	1	3	{GlimmerHMM_glimmerT_3816-T1;GlimmerHMM},{snap_scaffold_4-snap.649-T1;snap},{GeneMark_model.3312_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.08 68947-70504 orient(-) score(420300.00) noncoding_equivalent(59354.90) raw_noncoding(90319.50) offset(30964.60) 
68979	68947	terminal-	4	6	{snap_scaffold_4-snap.650-T1;snap}
69073	68980	INTRON			{snap_scaffold_4-snap.650-T1;snap}
70193	69074	internal-	6	6	{GlimmerHMM_glimmerT_3817-T1;GlimmerHMM},{GeneMark_model.3313_t;GeneMark}
70291	70194	INTRON			{GlimmerHMM_glimmerT_3817-T1;GlimmerHMM},{GeneMark_model.3313_t;GeneMark}
70301	70292	internal-	5	5	{GlimmerHMM_glimmerT_3817-T1;GlimmerHMM},{GeneMark_model.3313_t;GeneMark}
70410	70302	INTRON			{GlimmerHMM_glimmerT_3817-T1;GlimmerHMM},{GeneMark_model.3313_t;GeneMark}
70504	70411	initial-	4	4	{GlimmerHMM_glimmerT_3817-T1;GlimmerHMM},{snap_scaffold_4-snap.650-T1;snap},{GeneMark_model.3313_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.91 72557-74045 orient(+) score(381400.00) noncoding_equivalent(97538.86) raw_noncoding(137089.00) offset(39550.14) 
72557	72607	initial+	1	3	{GeneMark_model.3315_t;GeneMark},{GlimmerHMM_glimmerT_3818-T1;GlimmerHMM},{snap_scaffold_4-snap.651-T1;snap}
72608	72754	INTRON			{GlimmerHMM_glimmerT_3818-T1;GlimmerHMM},{snap_scaffold_4-snap.651-T1;snap}
72755	72826	internal+	1	3	{GeneMark_model.3315_t;GeneMark},{GlimmerHMM_glimmerT_3818-T1;GlimmerHMM},{snap_scaffold_4-snap.651-T1;snap}
72827	72911	INTRON			{GeneMark_model.3315_t;GeneMark},{GlimmerHMM_glimmerT_3818-T1;GlimmerHMM},{snap_scaffold_4-snap.651-T1;snap}
72912	73506	internal+	1	1	{GeneMark_model.3315_t;GeneMark},{snap_scaffold_4-snap.651-T1;snap}
73507	73559	INTRON			{GeneMark_model.3315_t;GeneMark},{snap_scaffold_4-snap.651-T1;snap}
73560	73676	internal+	2	1	{GeneMark_model.3315_t;GeneMark}
73677	73739	INTRON			{GeneMark_model.3315_t;GeneMark}
73740	73774	internal+	2	3	{GeneMark_model.3315_t;GeneMark}
73775	73844	INTRON			{GeneMark_model.3315_t;GeneMark}
73845	74045	terminal+	1	3	{GeneMark_model.3315_t;GeneMark},{GlimmerHMM_glimmerT_3818-T1;GlimmerHMM},{snap_scaffold_4-snap.651-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 79.84 76701-77000 orient(-) score(88800.00) noncoding_equivalent(1112.22) raw_noncoding(1112.22) offset(0.00) 
77000	76701	single-	4	6	{GeneMark_model.3316_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.15 77676-78195 orient(-) score(87500.00) noncoding_equivalent(40744.73) raw_noncoding(96585.54) offset(55840.81) 
77723	77676	terminal-	4	6	{snap_scaffold_4-snap.653-T1;snap}
78006	77724	INTRON			{snap_scaffold_4-snap.653-T1;snap}
78195	78007	initial-	4	6	{snap_scaffold_4-snap.653-T1;snap},{GlimmerHMM_glimmerT_3819-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.34 86438-88005 orient(-) score(461100.00) noncoding_equivalent(86354.00) raw_noncoding(88268.00) offset(1914.00) 
86862	86438	terminal-	5	6	{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM},{snap_scaffold_4-snap.654-T1;snap}
87001	86863	INTRON			{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM},{snap_scaffold_4-snap.654-T1;snap}
87578	87002	internal-	4	4	{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM},{snap_scaffold_4-snap.654-T1;snap}
87666	87579	INTRON			{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM},{snap_scaffold_4-snap.654-T1;snap}
87847	87667	internal-	6	6	{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM}
87940	87848	INTRON			{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM}
88005	87941	initial-	4	5	{GeneMark_model.3318_t;GeneMark},{GlimmerHMM_glimmerT_3821-T1;GlimmerHMM},{snap_scaffold_4-snap.654-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 5.61 89366-90539 orient(+) score(352200.00) noncoding_equivalent(62768.00) raw_noncoding(63574.00) offset(806.00) 
89366	89985	initial+	1	2	{snap_scaffold_4-snap.655-T1;snap},{GeneMark_model.3319_t;GeneMark},{GlimmerHMM_glimmerT_3822-T1;GlimmerHMM}
89986	90193	INTRON			{snap_scaffold_4-snap.655-T1;snap},{GeneMark_model.3319_t;GeneMark},{GlimmerHMM_glimmerT_3822-T1;GlimmerHMM}
