!! Predictions spanning range 1417 - 25041 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 4.84 1417-3774 orient(+) score(588315.00) noncoding_equivalent(121443.00) raw_noncoding(121443.00) offset(0.00) 
1417	3774	single+	1	3	{GlimmerHMM_glimmerT_10078-T1;GlimmerHMM}
# EVM prediction: Mode:STANDARD S-ratio: 2.81 17500-18456 orient(+) score(178696.00) noncoding_equivalent(63610.09) raw_noncoding(142370.11) offset(78760.02) 
17500	17571	initial+	1	3	{snap_scaffold_331-snap.6-T1;snap}
17572	17960	INTRON			{snap_scaffold_331-snap.6-T1;snap}
17961	18359	internal+	1	3	{GeneMark_model.9960_t;GeneMark},{Augustus_model.g8458.t1;Augustus},{snap_scaffold_331-snap.6-T1;snap}
18360	18423	INTRON			{GeneMark_model.9960_t;GeneMark},{Augustus_model.g8458.t1;Augustus}
18424	18456	terminal+	1	3	{GeneMark_model.9960_t;GeneMark},{Augustus_model.g8458.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 5.95 22422-23497 orient(-) score(296858.00) noncoding_equivalent(49851.32) raw_noncoding(60530.92) offset(10679.60) 
22853	22422	terminal-	4	6	{snap_scaffold_331-snap.7-T1;snap},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}
22900	22854	INTRON			{Augustus_model.g8459.t1;Augustus},{snap_scaffold_331-snap.7-T1;snap},{GeneMark_model.9961_t;GeneMark},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}
23246	22901	internal-	6	6	{Augustus_model.g8459.t1;Augustus},{GeneMark_model.9961_t;GeneMark},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}
23295	23247	INTRON			{Augustus_model.g8459.t1;Augustus},{GeneMark_model.9961_t;GeneMark},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}
23305	23296	internal-	5	5	{Augustus_model.g8459.t1;Augustus},{GeneMark_model.9961_t;GeneMark},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}
23352	23306	INTRON			{Augustus_model.g8459.t1;Augustus},{GeneMark_model.9961_t;GeneMark},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}
23497	23353	initial-	4	4	{Augustus_model.g8459.t1;Augustus},{snap_scaffold_331-snap.7-T1;snap},{GeneMark_model.9961_t;GeneMark},{GlimmerHMM_glimmerT_10086-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.32 24341-25041 orient(+) score(210874.00) noncoding_equivalent(63537.20) raw_noncoding(64790.00) offset(1252.80) 
24341	24426	initial+	1	2	{snap_scaffold_331-snap.8-T1;snap},{GlimmerHMM_glimmerT_10087-T1;GlimmerHMM},{GeneMark_model.9962_t;GeneMark},{Augustus_model.g8460.t1;Augustus}
24427	24589	INTRON			{snap_scaffold_331-snap.8-T1;snap},{GlimmerHMM_glimmerT_10087-T1;GlimmerHMM},{GeneMark_model.9962_t;GeneMark},{Augustus_model.g8460.t1;Augustus}
24590	24767	internal+	3	3	{snap_scaffold_331-snap.8-T1;snap},{GlimmerHMM_glimmerT_10087-T1;GlimmerHMM},{GeneMark_model.9962_t;GeneMark}
24768	24819	INTRON			{snap_scaffold_331-snap.8-T1;snap},{GlimmerHMM_glimmerT_10087-T1;GlimmerHMM},{GeneMark_model.9962_t;GeneMark}
24820	25041	terminal+	1	3	{snap_scaffold_331-snap.8-T1;snap},{GlimmerHMM_glimmerT_10087-T1;GlimmerHMM},{GeneMark_model.9962_t;GeneMark},{Augustus_model.g8460.t1;Augustus}

