!! Predictions spanning range 1567 - 15107 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 4.87 1567-3712 orient(+) score(641975.00) noncoding_equivalent(131906.94) raw_noncoding(142966.00) offset(11059.06) 
1567	1597	initial+	1	1	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{Augustus_model.g4284.t1;Augustus}
3315	3380	INTRON			{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus},{ev_type:exonerate/ID=match.489573.517/Target=VAC8_CHAGB;exonerate},{ev_type:exonerate/ID=match.489573.720/Target=VAC8_NEUCR;exonerate},{ev_type:exonerate/ID=match.489573.310/Target=VAC8_GIBZE;exonerate}
3381	3712	terminal+	2	3	{GeneMark_model.5378_t;GeneMark},{snap_scaffold_8-snap.274-T1;snap},{GlimmerHMM_glimmerT_6226-T1;GlimmerHMM},{Augustus_model.g4284.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.43 4446-5036 orient(-) score(109791.00) noncoding_equivalent(24788.00) raw_noncoding(24990.00) offset(202.00) 
4619	4446	terminal-	4	6	{Augustus_model.g4285.t1;Augustus},{GeneMark_model.5379_t;GeneMark}
4709	4620	INTRON			{Augustus_model.g4285.t1;Augustus},{GeneMark_model.5379_t;GeneMark}
5036	4710	initial-	4	6	{Augustus_model.g4285.t1;Augustus},{GeneMark_model.5379_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 330.09 5445-6329 orient(+) score(265385.00) noncoding_equivalent(803.97) raw_noncoding(803.97) offset(0.00) 
5445	6329	single+	1	3	{Augustus_model.g4286.t1;Augustus},{GeneMark_model.5380_t;GeneMark},{GlimmerHMM_glimmerT_6228-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 1.78 6636-7276 orient(-) score(128841.00) noncoding_equivalent(72584.00) raw_noncoding(81386.00) offset(8802.00) 
7174	6636	terminal-	5	6	{Augustus_model.g4287.t1;Augustus},{GlimmerHMM_glimmerT_6229-T1;GlimmerHMM},{GeneMark_model.5381_t;GeneMark}
7260	7175	INTRON			{Augustus_model.g4287.t1;Augustus},{GlimmerHMM_glimmerT_6229-T1;GlimmerHMM},{GeneMark_model.5381_t;GeneMark}
7276	7261	initial-	4	4	{Augustus_model.g4287.t1;Augustus},{GlimmerHMM_glimmerT_6229-T1;GlimmerHMM},{GeneMark_model.5381_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.40 7510-12259 orient(-) score(1105262.00) noncoding_equivalent(460487.30) raw_noncoding(646165.32) offset(185678.02) 
7724	7510	terminal-	5	6	{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
7795	7725	INTRON			{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
7872	7796	internal-	6	4	{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
7930	7873	INTRON			{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
8092	7931	internal-	6	5	{snap_scaffold_8-snap.276-T1;snap},{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
8162	8093	INTRON			{snap_scaffold_8-snap.276-T1;snap},{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
8278	8163	internal-	4	5	{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
8340	8279	INTRON			{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
8642	8341	internal-	5	6	{snap_scaffold_8-snap.276-T1;snap},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
8877	8643	INTRON			{snap_scaffold_8-snap.276-T1;snap},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
9302	8878	internal-	6	4	{snap_scaffold_8-snap.276-T1;snap},{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
9371	9303	INTRON			{snap_scaffold_8-snap.276-T1;snap},{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
9757	9372	internal-	4	5	{snap_scaffold_8-snap.276-T1;snap},{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
9877	9758	INTRON			{snap_scaffold_8-snap.276-T1;snap},{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
10083	9878	internal-	5	6	{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
10712	10084	INTRON			{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
10865	10713	internal-	5	4	{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus}
10968	10866	INTRON			{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus}
11061	10969	internal-	5	4	{GeneMark_model.5382_t;GeneMark},{Augustus_model.g4288.t1;Augustus},{GlimmerHMM_glimmerT_6230-T1;GlimmerHMM}
11154	11062	INTRON			{GeneMark_model.5382_t;GeneMark}
11237	11155	internal-	6	4	{GeneMark_model.5382_t;GeneMark}
11314	11238	INTRON			{GeneMark_model.5382_t;GeneMark}
11409	11315	internal-	4	5	{GeneMark_model.5382_t;GeneMark}
11530	11410	INTRON			{GeneMark_model.5382_t;GeneMark}
11697	11531	internal-	5	6	{GeneMark_model.5382_t;GeneMark}
11751	11698	INTRON			{GeneMark_model.5382_t;GeneMark}
12259	11752	initial-	4	4	{GeneMark_model.5382_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 52.45 14322-15107 orient(-) score(232186.00) noncoding_equivalent(4427.16) raw_noncoding(4427.16) offset(0.00) 
15107	14322	single-	4	6	{GeneMark_model.5383_t;GeneMark},{Augustus_model.g4289.t1;Augustus},{GlimmerHMM_glimmerT_6231-T1;GlimmerHMM}

