!! Predictions spanning range 2681 - 94540 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 135.80 2681-4480 orient(-) score(537700.00) noncoding_equivalent(3959.54) raw_noncoding(3959.54) offset(0.00) 
4480	2681	single-	4	6	{GeneMark_model.1731_t;GeneMark},{Augustus_model.g1457.t1;Augustus},{GlimmerHMM_glimmerT_1989-T1;GlimmerHMM}
33485	33555	INTRON			{GeneMark_model.1742_t;GeneMark},{Augustus_model.g1466.t1;Augustus},{snap_scaffold_2-snap.797-T1;snap},{GlimmerHMM_glimmerT_2002-T1;GlimmerHMM}
33556	34108	terminal+	3	3	{GeneMark_model.1742_t;GeneMark},{Augustus_model.g1466.t1;Augustus},{snap_scaffold_2-snap.797-T1;snap},{GlimmerHMM_glimmerT_2002-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 36.72 34948-38939 orient(+) score(1175036.00) noncoding_equivalent(31996.51) raw_noncoding(39883.32) offset(7886.82) 
34948	38219	initial+	1	2	{GlimmerHMM_glimmerT_2003-T1;GlimmerHMM}
38220	38262	INTRON			{GlimmerHMM_glimmerT_2003-T1;GlimmerHMM}
38263	38454	internal+	3	2	{Augustus_model.g1467.t1;Augustus},{GlimmerHMM_glimmerT_2003-T1;GlimmerHMM}
38455	38557	INTRON			{GlimmerHMM_glimmerT_2003-T1;GlimmerHMM},{snap_scaffold_2-snap.798-T1;snap}
38558	38939	terminal+	3	3	{GlimmerHMM_glimmerT_2003-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 15.55 42494-44875 orient(+) score(710382.00) noncoding_equivalent(45673.00) raw_noncoding(52377.00) offset(6704.00) 
42494	42549	initial+	1	2	{snap_scaffold_2-snap.799-T1;snap},{GeneMark_model.1744_t;GeneMark},{Augustus_model.g1468.t1;Augustus},{GlimmerHMM_glimmerT_2004-T1;GlimmerHMM}
42550	42615	INTRON			{snap_scaffold_2-snap.799-T1;snap},{GeneMark_model.1744_t;GeneMark},{Augustus_model.g1468.t1;Augustus}
42616	42772	internal+	3	3	{snap_scaffold_2-snap.799-T1;snap},{GeneMark_model.1744_t;GeneMark},{Augustus_model.g1468.t1;Augustus}
42773	42883	INTRON			{snap_scaffold_2-snap.799-T1;snap},{GeneMark_model.1744_t;GeneMark},{Augustus_model.g1468.t1;Augustus},{GlimmerHMM_glimmerT_2004-T1;GlimmerHMM}
42884	44875	terminal+	1	3	{snap_scaffold_2-snap.799-T1;snap},{GeneMark_model.1744_t;GeneMark},{Augustus_model.g1468.t1;Augustus},{GlimmerHMM_glimmerT_2004-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.05 45555-46339 orient(-) score(226379.00) noncoding_equivalent(44793.23) raw_noncoding(51758.00) offset(6964.77) 
45587	45555	terminal-	4	6	{snap_scaffold_2-snap.800-T1;snap},{GlimmerHMM_glimmerT_2005-T1;GlimmerHMM},{Augustus_model.g1469.t1;Augustus},{GeneMark_model.1745_t;GeneMark}
45674	45588	INTRON			{snap_scaffold_2-snap.800-T1;snap},{GlimmerHMM_glimmerT_2005-T1;GlimmerHMM},{Augustus_model.g1469.t1;Augustus},{GeneMark_model.1745_t;GeneMark}
46114	45675	internal-	5	6	{GlimmerHMM_glimmerT_2005-T1;GlimmerHMM},{GeneMark_model.1745_t;GeneMark}
46212	46115	INTRON			{GlimmerHMM_glimmerT_2005-T1;GlimmerHMM},{GeneMark_model.1745_t;GeneMark}
46339	46213	initial-	4	4	{snap_scaffold_2-snap.800-T1;snap},{GlimmerHMM_glimmerT_2005-T1;GlimmerHMM},{GeneMark_model.1745_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 6.25 48241-50570 orient(+) score(679230.00) noncoding_equivalent(108734.00) raw_noncoding(123140.00) offset(14406.00) 
48241	48274	initial+	1	1	{snap_scaffold_2-snap.801-T1;snap},{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}
48275	48495	INTRON			{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}
48496	48564	internal+	2	1	{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}
48565	48649	INTRON			{snap_scaffold_2-snap.801-T1;snap},{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}
48650	48887	internal+	2	2	{snap_scaffold_2-snap.801-T1;snap},{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}
48888	49021	INTRON			{snap_scaffold_2-snap.801-T1;snap},{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}
49022	50570	terminal+	3	3	{snap_scaffold_2-snap.801-T1;snap},{GeneMark_model.1746_t;GeneMark},{GlimmerHMM_glimmerT_2006-T1;GlimmerHMM},{Augustus_model.g1470.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 5.57 56484-58590 orient(+) score(634207.00) noncoding_equivalent(113778.00) raw_noncoding(114982.00) offset(1204.00) 
56484	56599	initial+	1	2	{Augustus_model.g1471.t1;Augustus},{snap_scaffold_2-snap.802-T1;snap},{GlimmerHMM_glimmerT_2007-T1;GlimmerHMM},{GeneMark_model.1748_t;GeneMark}
56600	56887	INTRON			{Augustus_model.g1471.t1;Augustus},{snap_scaffold_2-snap.802-T1;snap},{GlimmerHMM_glimmerT_2007-T1;GlimmerHMM},{GeneMark_model.1748_t;GeneMark}
56888	57169	internal+	3	2	{Augustus_model.g1471.t1;Augustus},{snap_scaffold_2-snap.802-T1;snap},{GlimmerHMM_glimmerT_2007-T1;GlimmerHMM},{GeneMark_model.1748_t;GeneMark}
57170	57263	INTRON			{Augustus_model.g1471.t1;Augustus},{snap_scaffold_2-snap.802-T1;snap},{GlimmerHMM_glimmerT_2007-T1;GlimmerHMM},{GeneMark_model.1748_t;GeneMark}
57264	58590	terminal+	3	3	{Augustus_model.g1471.t1;Augustus},{snap_scaffold_2-snap.802-T1;snap},{GlimmerHMM_glimmerT_2007-T1;GlimmerHMM},{GeneMark_model.1748_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 10.73 60052-62142 orient(+) score(607937.00) noncoding_equivalent(56650.33) raw_noncoding(62331.00) offset(5680.67) 
60052	60307	initial+	1	1	{snap_scaffold_2-snap.803-T1;snap},{GeneMark_model.1749_t;GeneMark}
60308	60393	INTRON			{snap_scaffold_2-snap.803-T1;snap},{GeneMark_model.1749_t;GeneMark},{Augustus_model.g1472.t1;Augustus}
60394	61944	internal+	2	1	{snap_scaffold_2-snap.803-T1;snap},{Augustus_model.g1472.t1;Augustus}
61945	62035	INTRON			{GlimmerHMM_glimmerT_2008-T1;GlimmerHMM},{snap_scaffold_2-snap.803-T1;snap},{GeneMark_model.1749_t;GeneMark},{Augustus_model.g1472.t1;Augustus}
62036	62142	terminal+	2	3	{GlimmerHMM_glimmerT_2008-T1;GlimmerHMM},{snap_scaffold_2-snap.803-T1;snap},{GeneMark_model.1749_t;GeneMark},{Augustus_model.g1472.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 10.22 62412-63341 orient(-) score(279930.00) noncoding_equivalent(27391.00) raw_noncoding(27993.00) offset(602.00) 
63134	62412	terminal-	4	6	{GeneMark_model.1750_t;GeneMark},{snap_scaffold_2-snap.804-T1;snap},{GlimmerHMM_glimmerT_2009-T1;GlimmerHMM},{Augustus_model.g1473.t1;Augustus}
63227	63135	INTRON			{GeneMark_model.1750_t;GeneMark},{snap_scaffold_2-snap.804-T1;snap},{GlimmerHMM_glimmerT_2009-T1;GlimmerHMM},{Augustus_model.g1473.t1;Augustus}
63341	63228	initial-	4	6	{GeneMark_model.1750_t;GeneMark},{snap_scaffold_2-snap.804-T1;snap},{GlimmerHMM_glimmerT_2009-T1;GlimmerHMM},{Augustus_model.g1473.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 4.64 64282-64577 orient(-) score(88800.00) noncoding_equivalent(19133.00) raw_noncoding(19796.00) offset(663.00) 
64429	64282	terminal-	6	6	{snap_scaffold_2-snap.805-T1;snap},{GlimmerHMM_glimmerT_2010-T1;GlimmerHMM},{GeneMark_model.1751_t;GeneMark}
64494	64430	INTRON			{snap_scaffold_2-snap.805-T1;snap},{GlimmerHMM_glimmerT_2010-T1;GlimmerHMM},{GeneMark_model.1751_t;GeneMark}
64577	64495	initial-	4	5	{snap_scaffold_2-snap.805-T1;snap},{GlimmerHMM_glimmerT_2010-T1;GlimmerHMM},{GeneMark_model.1751_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 19.70 67341-69584 orient(+) score(667844.00) noncoding_equivalent(33893.56) raw_noncoding(34495.56) offset(602.00) 
67341	68321	initial+	1	3	{GlimmerHMM_glimmerT_2011-T1;GlimmerHMM},{snap_scaffold_2-snap.806-T1;snap},{Augustus_model.g1474.t1;Augustus}
68322	68411	INTRON			{GeneMark_model.1752_t;GeneMark},{GlimmerHMM_glimmerT_2011-T1;GlimmerHMM},{snap_scaffold_2-snap.806-T1;snap},{Augustus_model.g1474.t1;Augustus}
68412	69584	terminal+	1	3	{GeneMark_model.1752_t;GeneMark},{GlimmerHMM_glimmerT_2011-T1;GlimmerHMM},{snap_scaffold_2-snap.806-T1;snap},{Augustus_model.g1474.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 19.44 70214-71885 orient(-) score(503272.00) noncoding_equivalent(25886.00) raw_noncoding(26488.00) offset(602.00) 
71386	70214	terminal-	4	6	{GlimmerHMM_glimmerT_2012-T1;GlimmerHMM},{snap_scaffold_2-snap.807-T1;snap},{Augustus_model.g1475.t1;Augustus},{GeneMark_model.1753_t;GeneMark}
71474	71387	INTRON			{GlimmerHMM_glimmerT_2012-T1;GlimmerHMM},{snap_scaffold_2-snap.807-T1;snap},{Augustus_model.g1475.t1;Augustus},{GeneMark_model.1753_t;GeneMark}
71885	71475	initial-	4	6	{GlimmerHMM_glimmerT_2012-T1;GlimmerHMM},{snap_scaffold_2-snap.807-T1;snap},{Augustus_model.g1475.t1;Augustus},{GeneMark_model.1753_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 19.29 72342-73773 orient(+) score(430966.00) noncoding_equivalent(22340.21) raw_noncoding(22942.21) offset(602.00) 
72342	72537	initial+	1	1	{snap_scaffold_2-snap.808-T1;snap},{Augustus_model.g1476.t1;Augustus},{GeneMark_model.1754_t;GeneMark},{GlimmerHMM_glimmerT_2013-T1;GlimmerHMM}
72538	72613	INTRON			{snap_scaffold_2-snap.808-T1;snap},{Augustus_model.g1476.t1;Augustus},{GeneMark_model.1754_t;GeneMark},{GlimmerHMM_glimmerT_2013-T1;GlimmerHMM}
72614	73773	terminal+	2	3	{snap_scaffold_2-snap.808-T1;snap},{GeneMark_model.1754_t;GeneMark},{GlimmerHMM_glimmerT_2013-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 6.89 74353-75558 orient(+) score(358506.00) noncoding_equivalent(52058.00) raw_noncoding(53262.00) offset(1204.00) 
74353	74659	initial+	1	1	{snap_scaffold_2-snap.809-T1;snap},{GeneMark_model.1755_t;GeneMark},{GlimmerHMM_glimmerT_2014-T1;GlimmerHMM}
74660	74751	INTRON			{snap_scaffold_2-snap.809-T1;snap},{GeneMark_model.1755_t;GeneMark},{Augustus_model.g1476.t1;Augustus},{GlimmerHMM_glimmerT_2014-T1;GlimmerHMM}
74752	75286	internal+	2	2	{GeneMark_model.1755_t;GeneMark},{Augustus_model.g1476.t1;Augustus},{GlimmerHMM_glimmerT_2014-T1;GlimmerHMM}
75287	75356	INTRON			{snap_scaffold_2-snap.809-T1;snap},{GeneMark_model.1755_t;GeneMark},{Augustus_model.g1476.t1;Augustus},{GlimmerHMM_glimmerT_2014-T1;GlimmerHMM}
75357	75558	terminal+	3	3	{snap_scaffold_2-snap.809-T1;snap},{GeneMark_model.1755_t;GeneMark},{Augustus_model.g1476.t1;Augustus},{GlimmerHMM_glimmerT_2014-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 6.53 75987-76952 orient(-) score(290766.00) noncoding_equivalent(44548.00) raw_noncoding(45150.00) offset(602.00) 
76431	75987	terminal-	6	6	{GlimmerHMM_glimmerT_2015-T1;GlimmerHMM},{Augustus_model.g1477.t1;Augustus},{GeneMark_model.1756_t;GeneMark},{snap_scaffold_2-snap.810-T1;snap}
76581	76432	INTRON			{GlimmerHMM_glimmerT_2015-T1;GlimmerHMM},{Augustus_model.g1477.t1;Augustus},{GeneMark_model.1756_t;GeneMark},{snap_scaffold_2-snap.810-T1;snap}
76952	76582	initial-	4	5	{GlimmerHMM_glimmerT_2015-T1;GlimmerHMM},{Augustus_model.g1477.t1;Augustus},{GeneMark_model.1756_t;GeneMark},{snap_scaffold_2-snap.810-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 5.79 77382-78713 orient(+) score(400932.00) noncoding_equivalent(69230.00) raw_noncoding(70434.00) offset(1204.00) 
77382	77433	initial+	1	1	{GeneMark_model.1757_t;GeneMark},{GlimmerHMM_glimmerT_2016-T1;GlimmerHMM},{Augustus_model.g1478.t1;Augustus},{snap_scaffold_2-snap.811-T1;snap}
77434	77511	INTRON			{GeneMark_model.1757_t;GeneMark},{GlimmerHMM_glimmerT_2016-T1;GlimmerHMM},{Augustus_model.g1478.t1;Augustus},{snap_scaffold_2-snap.811-T1;snap}
77512	77664	internal+	2	1	{GeneMark_model.1757_t;GeneMark},{GlimmerHMM_glimmerT_2016-T1;GlimmerHMM},{Augustus_model.g1478.t1;Augustus},{snap_scaffold_2-snap.811-T1;snap}
77665	77820	INTRON			{GeneMark_model.1757_t;GeneMark},{GlimmerHMM_glimmerT_2016-T1;GlimmerHMM},{Augustus_model.g1478.t1;Augustus},{snap_scaffold_2-snap.811-T1;snap}
77821	78713	terminal+	2	3	{GeneMark_model.1757_t;GeneMark},{GlimmerHMM_glimmerT_2016-T1;GlimmerHMM},{Augustus_model.g1478.t1;Augustus},{snap_scaffold_2-snap.811-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 8.98 78965-80885 orient(-) score(578221.00) noncoding_equivalent(64414.00) raw_noncoding(66220.00) offset(1806.00) 
79223	78965	terminal-	6	6	{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}
79285	79224	INTRON			{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}
79385	79286	internal-	5	5	{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}
79459	79386	INTRON			{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}
80530	79460	internal-	5	4	{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}
80614	80531	INTRON			{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}
80885	80615	initial-	4	4	{GeneMark_model.1758_t;GeneMark},{GlimmerHMM_glimmerT_2017-T1;GlimmerHMM},{snap_scaffold_2-snap.812-T1;snap},{Augustus_model.g1479.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1185.01 82056-82460 orient(+) score(121804.00) noncoding_equivalent(102.79) raw_noncoding(102.79) offset(0.00) 
82056	82460	single+	1	3	{GlimmerHMM_glimmerT_2018-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 5.17 82669-83684 orient(+) score(288916.00) noncoding_equivalent(55841.00) raw_noncoding(65345.00) offset(9504.00) 
82669	82789	initial+	1	1	{snap_scaffold_2-snap.814-T1;snap},{GlimmerHMM_glimmerT_2019-T1;GlimmerHMM}
82790	82865	INTRON			{snap_scaffold_2-snap.814-T1;snap},{Augustus_model.g1480.t1;Augustus},{GlimmerHMM_glimmerT_2019-T1;GlimmerHMM},{GeneMark_model.1759_t;GeneMark}
82866	82978	internal+	2	3	{snap_scaffold_2-snap.814-T1;snap},{Augustus_model.g1480.t1;Augustus},{GlimmerHMM_glimmerT_2019-T1;GlimmerHMM}
82979	83147	INTRON			{snap_scaffold_2-snap.814-T1;snap},{Augustus_model.g1480.t1;Augustus},{GlimmerHMM_glimmerT_2019-T1;GlimmerHMM}
83148	83684	terminal+	1	3	{snap_scaffold_2-snap.814-T1;snap},{Augustus_model.g1480.t1;Augustus},{GlimmerHMM_glimmerT_2019-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 86.63 84305-84952 orient(+) score(192848.00) noncoding_equivalent(2226.04) raw_noncoding(2226.04) offset(0.00) 
84305	84952	single+	1	3	{GlimmerHMM_glimmerT_2020-T1;GlimmerHMM},{Augustus_model.g1481.t1;Augustus},{GeneMark_model.1760_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 10.56 85572-86991 orient(+) score(427307.00) noncoding_equivalent(40447.19) raw_noncoding(41049.19) offset(602.00) 
85572	86222	initial+	1	3	{GeneMark_model.1761_t;GeneMark},{snap_scaffold_2-snap.816-T1;snap},{Augustus_model.g1482.t1;Augustus},{GlimmerHMM_glimmerT_2021-T1;GlimmerHMM}
