!! Predictions spanning range 10294 - 129575 [R1]
# EVM prediction: Mode:STANDARD S-ratio: 10000.00 10294-12213 orient(-) score(577920.00) noncoding_equivalent(57.79) raw_noncoding(0.00) offset(0.00) 
12213	10294	single-	4	6	{GeneMark_model.457_t;GeneMark},{Augustus_model.g410.t1;Augustus},{GlimmerHMM_glimmerT_464-T1;GlimmerHMM}
26613	26721	terminal+	3	3	{GeneMark_model.461_t;GeneMark},{GlimmerHMM_glimmerT_469-T1;GlimmerHMM},{Augustus_model.g414.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 1.47 27126-27730 orient(-) score(121605.00) noncoding_equivalent(82720.00) raw_noncoding(105524.00) offset(22804.00) 
27289	27126	terminal-	5	6	{Augustus_model.g415.t1;Augustus},{GlimmerHMM_glimmerT_470-T1;GlimmerHMM},{GeneMark_model.462_t;GeneMark}
27425	27290	INTRON			{Augustus_model.g415.t1;Augustus},{GlimmerHMM_glimmerT_470-T1;GlimmerHMM},{GeneMark_model.462_t;GeneMark}
27626	27426	internal-	5	4	{Augustus_model.g415.t1;Augustus},{GlimmerHMM_glimmerT_470-T1;GlimmerHMM},{GeneMark_model.462_t;GeneMark}
27714	27627	INTRON			{Augustus_model.g415.t1;Augustus},{GlimmerHMM_glimmerT_470-T1;GlimmerHMM},{GeneMark_model.462_t;GeneMark}
27730	27715	initial-	4	4	{Augustus_model.g415.t1;Augustus},{GlimmerHMM_glimmerT_470-T1;GlimmerHMM},{GeneMark_model.462_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 18.46 28701-29786 orient(-) score(315171.00) noncoding_equivalent(17070.00) raw_noncoding(17472.00) offset(402.00) 
28755	28701	terminal-	6	6	{Augustus_model.g416.t1;Augustus},{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.463_t;GeneMark}
28812	28756	INTRON			{Augustus_model.g416.t1;Augustus},{GlimmerHMM_glimmerT_471-T1;GlimmerHMM},{GeneMark_model.463_t;GeneMark}
29786	28813	initial-	4	5	{GeneMark_model.463_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 2.73 31337-32251 orient(+) score(187415.00) noncoding_equivalent(68706.89) raw_noncoding(129496.40) offset(60789.50) 
31337	31339	initial+	1	3	{GeneMark_model.464_t;GeneMark},{Augustus_model.g417.t1;Augustus}
31340	31405	INTRON			{GeneMark_model.464_t;GeneMark},{Augustus_model.g417.t1;Augustus}
31406	31510	internal+	1	3	{GeneMark_model.464_t;GeneMark},{Augustus_model.g417.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}
31511	31733	INTRON			{Augustus_model.g417.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}
31734	31821	internal+	1	1	{Augustus_model.g417.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}
31822	31916	INTRON			{GeneMark_model.464_t;GeneMark},{Augustus_model.g417.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM}
31917	32251	terminal+	2	3	{GeneMark_model.464_t;GeneMark},{Augustus_model.g417.t1;Augustus},{GlimmerHMM_glimmerT_472-T1;GlimmerHMM},{snap_scaffold_1-snap.505-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 14.23 34630-37516 orient(+) score(822587.00) noncoding_equivalent(57813.00) raw_noncoding(69115.00) offset(11302.00) 
34630	34940	initial+	1	2	{Augustus_model.g418.t1;Augustus},{GlimmerHMM_glimmerT_473-T1;GlimmerHMM}
34941	35055	INTRON			{Augustus_model.g418.t1;Augustus},{GlimmerHMM_glimmerT_473-T1;GlimmerHMM},{GeneMark_model.465_t;GeneMark}
35056	37516	terminal+	3	3	{Augustus_model.g418.t1;Augustus},{GlimmerHMM_glimmerT_473-T1;GlimmerHMM},{GeneMark_model.465_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 10000.00 38179-39765 orient(+) score(477687.00) noncoding_equivalent(47.77) raw_noncoding(0.00) offset(0.00) 
38179	39765	single+	1	3	{GlimmerHMM_glimmerT_474-T1;GlimmerHMM},{Augustus_model.g419.t1;Augustus},{GeneMark_model.466_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.54 40789-46333 orient(+) score(1238342.00) noncoding_equivalent(349432.89) raw_noncoding(469180.00) offset(119747.11) 
40789	40910	initial+	1	2	{GlimmerHMM_glimmerT_475-T1;GlimmerHMM}
40911	41092	INTRON			{GlimmerHMM_glimmerT_475-T1;GlimmerHMM}
41093	41477	internal+	3	3	{GlimmerHMM_glimmerT_475-T1;GlimmerHMM}
41478	42043	INTRON			{GlimmerHMM_glimmerT_475-T1;GlimmerHMM}
42044	42863	internal+	1	1	{GlimmerHMM_glimmerT_475-T1;GlimmerHMM}
42864	42926	INTRON			{Augustus_model.g420.t1;Augustus},{GeneMark_model.467_t;GeneMark}
42927	43953	internal+	2	2	{Augustus_model.g420.t1;Augustus},{GeneMark_model.467_t;GeneMark}
43954	44008	INTRON			{Augustus_model.g420.t1;Augustus},{GeneMark_model.467_t;GeneMark}
44009	44806	internal+	3	2	{Augustus_model.g420.t1;Augustus},{GeneMark_model.467_t;GeneMark}
44807	44865	INTRON			{Augustus_model.g420.t1;Augustus},{GlimmerHMM_glimmerT_475-T1;GlimmerHMM},{GeneMark_model.467_t;GeneMark}
44866	46333	terminal+	3	3	{Augustus_model.g420.t1;Augustus},{GlimmerHMM_glimmerT_475-T1;GlimmerHMM},{GeneMark_model.467_t;GeneMark},{snap_scaffold_1-snap.510-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 8.91 52384-56452 orient(-) score(1090738.00) noncoding_equivalent(122441.49) raw_noncoding(179086.00) offset(56644.51) 
52735	52384	terminal-	6	6	{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark},{GlimmerHMM_glimmerT_476-T1;GlimmerHMM}
52797	52736	INTRON			{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark},{GlimmerHMM_glimmerT_476-T1;GlimmerHMM}
53415	52798	internal-	6	5	{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark},{GlimmerHMM_glimmerT_476-T1;GlimmerHMM}
53472	53416	INTRON			{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark},{GlimmerHMM_glimmerT_476-T1;GlimmerHMM}
53577	53473	internal-	6	5	{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark},{GlimmerHMM_glimmerT_476-T1;GlimmerHMM}
53644	53578	INTRON			{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark}
55153	53645	internal-	6	5	{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark}
55253	55154	INTRON			{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark}
55363	55254	internal-	4	5	{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark}
55432	55364	INTRON			{Augustus_model.g421.t1;Augustus},{GeneMark_model.468_t;GeneMark}
56452	55433	initial-	4	6	{GeneMark_model.468_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 10.26 74434-75214 orient(-) score(206381.00) noncoding_equivalent(20119.89) raw_noncoding(37285.00) offset(17165.11) 
75017	74434	terminal-	5	6	{Augustus_model.g422.t1;Augustus},{GeneMark_model.469_t;GeneMark}
75102	75018	INTRON			{Augustus_model.g422.t1;Augustus},{GeneMark_model.469_t;GeneMark}
75214	75103	initial-	4	4	{Augustus_model.g422.t1;Augustus},{GlimmerHMM_glimmerT_477-T1;GlimmerHMM},{GeneMark_model.469_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1100.10 75825-77300 orient(+) score(443676.00) noncoding_equivalent(403.31) raw_noncoding(403.31) offset(0.00) 
75825	77300	single+	1	3	{Augustus_model.g423.t1;Augustus},{GeneMark_model.470_t;GeneMark},{GlimmerHMM_glimmerT_478-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 2.73 77539-78711 orient(-) score(284373.00) noncoding_equivalent(104355.00) raw_noncoding(139257.00) offset(34902.00) 
78024	77539	terminal-	4	6	{GeneMark_model.471_t;GeneMark},{GlimmerHMM_glimmerT_479-T1;GlimmerHMM},{Augustus_model.g424.t1;Augustus}
78381	78025	INTRON			{GeneMark_model.471_t;GeneMark},{GlimmerHMM_glimmerT_479-T1;GlimmerHMM},{Augustus_model.g424.t1;Augustus}
78711	78382	initial-	4	6	{GeneMark_model.471_t;GeneMark},{GlimmerHMM_glimmerT_479-T1;GlimmerHMM},{Augustus_model.g424.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 12.58 80131-81512 orient(-) score(391082.00) noncoding_equivalent(31084.35) raw_noncoding(37386.35) offset(6302.00) 
80293	80131	terminal-	6	6	{Augustus_model.g425.t1;Augustus},{GlimmerHMM_glimmerT_480-T1;GlimmerHMM},{GeneMark_model.472_t;GeneMark}
80358	80294	INTRON			{Augustus_model.g425.t1;Augustus},{GlimmerHMM_glimmerT_480-T1;GlimmerHMM},{GeneMark_model.472_t;GeneMark}
81512	80359	initial-	4	5	{Augustus_model.g425.t1;Augustus},{GlimmerHMM_glimmerT_480-T1;GlimmerHMM},{GeneMark_model.472_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.02 83131-83745 orient(-) score(147015.00) noncoding_equivalent(48606.00) raw_noncoding(58908.00) offset(10302.00) 
83364	83131	terminal-	4	6	{Augustus_model.g426.t1;Augustus},{GlimmerHMM_glimmerT_481-T1;GlimmerHMM},{snap_scaffold_1-snap.518-T1;snap},{GeneMark_model.473_t;GeneMark}
83472	83365	INTRON			{Augustus_model.g426.t1;Augustus},{GlimmerHMM_glimmerT_481-T1;GlimmerHMM},{GeneMark_model.473_t;GeneMark}
83745	83473	initial-	4	6	{Augustus_model.g426.t1;Augustus},{GlimmerHMM_glimmerT_481-T1;GlimmerHMM},{GeneMark_model.473_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.54 87387-89250 orient(-) score(338300.00) noncoding_equivalent(219342.76) raw_noncoding(241078.52) offset(21735.76) 
87477	87387	terminal-	6	6	{GeneMark_model.474_t;GeneMark}
87560	87478	INTRON			{GeneMark_model.474_t;GeneMark}
88423	87561	internal-	4	5	{GeneMark_model.474_t;GeneMark},{GlimmerHMM_glimmerT_482-T1;GlimmerHMM}
88473	88424	INTRON			{GeneMark_model.474_t;GeneMark},{GlimmerHMM_glimmerT_482-T1;GlimmerHMM}
89250	88474	initial-	4	6	{GlimmerHMM_glimmerT_482-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 33.84 90238-91686 orient(+) score(423517.00) noncoding_equivalent(12515.39) raw_noncoding(12515.39) offset(0.00) 
90238	91686	single+	1	3	{GlimmerHMM_glimmerT_483-T1;GlimmerHMM},{GeneMark_model.475_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 9.85 92949-97220 orient(+) score(1181872.00) noncoding_equivalent(120019.89) raw_noncoding(127783.89) offset(7764.00) 
92949	94001	initial+	1	3	{Augustus_model.g428.t1;Augustus},{GlimmerHMM_glimmerT_484-T1;GlimmerHMM},{GeneMark_model.476_t;GeneMark}
94002	94099	INTRON			{Augustus_model.g428.t1;Augustus},{GlimmerHMM_glimmerT_484-T1;GlimmerHMM},{GeneMark_model.476_t;GeneMark}
94100	95358	internal+	1	2	{Augustus_model.g428.t1;Augustus},{GlimmerHMM_glimmerT_484-T1;GlimmerHMM},{GeneMark_model.476_t;GeneMark}
95359	95428	INTRON			{Augustus_model.g428.t1;Augustus},{GlimmerHMM_glimmerT_484-T1;GlimmerHMM},{GeneMark_model.476_t;GeneMark}
95429	97220	terminal+	3	3	{Augustus_model.g428.t1;Augustus},{GlimmerHMM_glimmerT_484-T1;GlimmerHMM},{GeneMark_model.476_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 8.26 100118-101251 orient(+) score(288025.00) noncoding_equivalent(34871.55) raw_noncoding(71083.00) offset(36211.45) 
100118	100204	initial+	1	3	{GlimmerHMM_glimmerT_485-T1;GlimmerHMM},{Augustus_model.g429.t1;Augustus}
100205	100290	INTRON			{GlimmerHMM_glimmerT_485-T1;GlimmerHMM},{Augustus_model.g429.t1;Augustus}
100291	100903	internal+	1	1	{GlimmerHMM_glimmerT_485-T1;GlimmerHMM},{Augustus_model.g429.t1;Augustus},{GeneMark_model.477_t;GeneMark}
100904	101000	INTRON			{GlimmerHMM_glimmerT_485-T1;GlimmerHMM}
101001	101251	terminal+	2	3	{GlimmerHMM_glimmerT_485-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 21.46 102660-104460 orient(-) score(525101.00) noncoding_equivalent(24474.00) raw_noncoding(29176.00) offset(4702.00) 
103569	102660	terminal-	6	6	{GlimmerHMM_glimmerT_486-T1;GlimmerHMM},{Augustus_model.g430.t1;Augustus},{GeneMark_model.478_t;GeneMark}
103645	103570	INTRON			{GlimmerHMM_glimmerT_486-T1;GlimmerHMM},{Augustus_model.g430.t1;Augustus},{GeneMark_model.478_t;GeneMark}
104460	103646	initial-	4	5	{GlimmerHMM_glimmerT_486-T1;GlimmerHMM},{Augustus_model.g430.t1;Augustus},{GeneMark_model.478_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 1.98 106166-106663 orient(+) score(99600.00) noncoding_equivalent(50298.00) raw_noncoding(50298.00) offset(0.00) 
106166	106663	single+	1	3	{GlimmerHMM_glimmerT_487-T1;GlimmerHMM},{GeneMark_model.479_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 7.91 106937-109071 orient(-) score(589816.00) noncoding_equivalent(74523.08) raw_noncoding(97157.00) offset(22633.92) 
108536	106937	terminal-	6	6	{snap_scaffold_1-snap.526-T1;snap},{GlimmerHMM_glimmerT_488-T1;GlimmerHMM},{GeneMark_model.480_t;GeneMark}
108597	108537	INTRON			{GlimmerHMM_glimmerT_488-T1;GlimmerHMM},{GeneMark_model.480_t;GeneMark}
108814	108598	internal-	5	5	{GlimmerHMM_glimmerT_488-T1;GlimmerHMM},{GeneMark_model.480_t;GeneMark}
108974	108815	INTRON			{Augustus_model.g431.t1;Augustus},{GlimmerHMM_glimmerT_488-T1;GlimmerHMM},{GeneMark_model.480_t;GeneMark}
109071	108975	initial-	4	4	{Augustus_model.g431.t1;Augustus},{GlimmerHMM_glimmerT_488-T1;GlimmerHMM},{GeneMark_model.480_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 3.64 110223-111683 orient(+) score(354261.00) noncoding_equivalent(97338.00) raw_noncoding(109620.00) offset(12282.00) 
110223	110962	initial+	1	2	{Augustus_model.g432.t1;Augustus},{GlimmerHMM_glimmerT_489-T1;GlimmerHMM},{GeneMark_model.481_t;GeneMark}
110963	111082	INTRON			{Augustus_model.g432.t1;Augustus},{GlimmerHMM_glimmerT_489-T1;GlimmerHMM},{GeneMark_model.481_t;GeneMark}
111083	111683	terminal+	3	3	{Augustus_model.g432.t1;Augustus},{GlimmerHMM_glimmerT_489-T1;GlimmerHMM},{GeneMark_model.481_t;GeneMark},{snap_scaffold_1-snap.527-T1;snap}

# EVM prediction: Mode:STANDARD S-ratio: 1.43 113253-113615 orient(-) score(72963.00) noncoding_equivalent(50945.00) raw_noncoding(65847.00) offset(14902.00) 
113327	113253	terminal-	4	6	{GeneMark_model.482_t;GeneMark},{GlimmerHMM_glimmerT_490-T1;GlimmerHMM},{Augustus_model.g433.t1;Augustus}
113474	113328	INTRON			{GeneMark_model.482_t;GeneMark},{GlimmerHMM_glimmerT_490-T1;GlimmerHMM},{Augustus_model.g433.t1;Augustus}
113615	113475	initial-	4	6	{GeneMark_model.482_t;GeneMark},{GlimmerHMM_glimmerT_490-T1;GlimmerHMM},{Augustus_model.g433.t1;Augustus}

# EVM prediction: Mode:STANDARD S-ratio: 2.96 119375-120802 orient(-) score(321946.00) noncoding_equivalent(108915.35) raw_noncoding(148782.00) offset(39866.65) 
119595	119375	terminal-	5	6	{GeneMark_model.483_t;GeneMark},{Augustus_model.g434.t1;Augustus},{GlimmerHMM_glimmerT_491-T1;GlimmerHMM}
119655	119596	INTRON			{GeneMark_model.483_t;GeneMark},{Augustus_model.g434.t1;Augustus},{GlimmerHMM_glimmerT_491-T1;GlimmerHMM}
120283	119656	internal-	4	4	{GeneMark_model.483_t;GeneMark}
120365	120284	INTRON			{GeneMark_model.483_t;GeneMark}
120490	120366	internal-	5	6	{GeneMark_model.483_t;GeneMark}
120554	120491	INTRON			{GeneMark_model.483_t;GeneMark},{Augustus_model.g434.t1;Augustus}
120684	120555	internal-	4	4	{GeneMark_model.483_t;GeneMark},{Augustus_model.g434.t1;Augustus},{GlimmerHMM_glimmerT_491-T1;GlimmerHMM}
120781	120685	INTRON			{GeneMark_model.483_t;GeneMark},{Augustus_model.g434.t1;Augustus},{GlimmerHMM_glimmerT_491-T1;GlimmerHMM}
120802	120782	initial-	4	6	{GeneMark_model.483_t;GeneMark},{Augustus_model.g434.t1;Augustus},{GlimmerHMM_glimmerT_491-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 32.28 121995-125257 orient(+) score(958063.00) noncoding_equivalent(29678.69) raw_noncoding(30980.69) offset(1302.00) 
121995	124298	initial+	1	3	{Augustus_model.g435.t1;Augustus},{GlimmerHMM_glimmerT_492-T1;GlimmerHMM},{GeneMark_model.484_t;GeneMark}
124299	124357	INTRON			{Augustus_model.g435.t1;Augustus},{GlimmerHMM_glimmerT_492-T1;GlimmerHMM},{GeneMark_model.484_t;GeneMark}
124358	125257	terminal+	1	3	{Augustus_model.g435.t1;Augustus},{GlimmerHMM_glimmerT_492-T1;GlimmerHMM},{GeneMark_model.484_t;GeneMark}

# EVM prediction: Mode:STANDARD S-ratio: 28.74 125719-128230 orient(+) score(752212.00) noncoding_equivalent(26174.00) raw_noncoding(26776.00) offset(602.00) 
125719	125763	initial+	1	3	{GeneMark_model.485_t;GeneMark},{Augustus_model.g436.t1;Augustus},{GlimmerHMM_glimmerT_493-T1;GlimmerHMM}
125764	125839	INTRON			{GeneMark_model.485_t;GeneMark},{Augustus_model.g436.t1;Augustus},{snap_scaffold_1-snap.531-T1;snap},{GlimmerHMM_glimmerT_493-T1;GlimmerHMM}
125840	128230	terminal+	1	3	{GeneMark_model.485_t;GeneMark},{Augustus_model.g436.t1;Augustus},{snap_scaffold_1-snap.531-T1;snap},{GlimmerHMM_glimmerT_493-T1;GlimmerHMM}

# EVM prediction: Mode:STANDARD S-ratio: 3.64 128838-129575 orient(-) score(174300.00) noncoding_equivalent(47838.00) raw_noncoding(47838.00) offset(0.00) 
129575	128838	terminal-	4	6	{snap_scaffold_1-snap.533-T1;snap}

